================================================================================
CRAWLER V2
================================================================================
Fuente: ASFI / Finrural
URL configurada: https://www.asfi.gob.bo
Timeout HTTP: 15 s
Pausa HTTP:   aleatoria 0.30s - 0.90s


Resolución de fuente:
  Original: https://www.asfi.gob.bo
  Utilizada: https://www.asfi.gob.bo/
  Fallback: sí
  Intentos: 1
    - usable         | HTTP=200 | https://www.asfi.gob.bo/

URL de trabajo: https://www.asfi.gob.bo/
Seeds: 1
Máx páginas: 10000
Máx archivos: 100000
Máx profundidad: 20

[FULL_10_ASFI_FINRURAL] t=  36.6s | pag= 30 | files=  37 | data=  1 | cola= 184 | prio=10 | https://www.asfi.gob.bo/pb/estadisticas-reclamos
[FULL_10_ASFI_FINRURAL] t=  37.3s | pag= 31 | files=  37 | data=  1 | cola= 222 | prio=10 | https://appweb2.asfi.gob.bo/PaginasPublicas2/VistaPAF/UbicacionPAF.aspx?Mercado=EIF
[FULL_10_ASFI_FINRURAL] DATASETS=2 | data_html_table | https://appweb2.asfi.gob.bo/PaginasPublicas2/VistaPAF/UbicacionPAF.aspx?Mercado=EIF
[FULL_10_ASFI_FINRURAL] t=  39.7s | pag= 32 | files=  37 | data=  2 | cola= 221 | prio=10 | https://appweb2.asfi.gob.bo/PaginasPublicas2/VistaPAF/UbicacionPAF.aspx?Mercado=MV
[FULL_10_ASFI_FINRURAL] DATASETS=3 | data_html_table | https://appweb2.asfi.gob.bo/PaginasPublicas2/VistaPAF/UbicacionPAF.aspx?Mercado=MV
[FULL_10_ASFI_FINRURAL] t=  40.7s | pag= 33 | files=  37 | data=  3 | cola= 220 | prio=10 | https://appweb2.asfi.gob.bo/PaginasPublicas2/VistaPAF/UbicacionPAF.aspx?Mercado=ESFC
[FULL_10_ASFI_FINRURAL] DATASETS=4 | data_html_table | https://appweb2.asfi.gob.bo/PaginasPublicas2/VistaPAF/UbicacionPAF.aspx?Mercado=ESFC
[FULL_10_ASFI_FINRURAL] t=  42.4s | pag= 34 | files=  37 | data=  4 | cola= 219 | prio=10 | https://www.asfi.gob.bo/pagina-lista-boletines?page=1
[FULL_10_ASFI_FINRURAL] t=  43.0s | pag= 35 | files=  46 | data=  4 | cola= 219 | prio=10 | https://www.asfi.gob.bo/pagina-lista-boletines?page=2
[FULL_10_ASFI_FINRURAL] t=  43.9s | pag= 36 | files=  54 | data=  4 | cola= 218 | prio=10 | https://www.asfi.gob.bo/pb/entidades-financieras-vivienda
[FULL_10_ASFI_FINRURAL] t=  44.4s | pag= 37 | files=  54 | data=  4 | cola= 217 | prio=10 | https://www.asfi.gob.bo/pb/instituciones-financieras-desarrollo
[FULL_10_ASFI_FINRURAL] t=  45.2s | pag= 38 | files=  54 | data=  4 | cola= 216 | prio=10 | https://www.asfi.gob.bo/la/boletines-estadisticos-mercado-valores-2026
[FULL_10_ASFI_FINRURAL] DATASETS=5 | data_html_table | https://www.asfi.gob.bo/la/boletines-estadisticos-mercado-valores-2026
[FULL_10_ASFI_FINRURAL] t=  51.5s | pag= 39 | files=  58 | data=  5 | cola= 215 | prio=10 | https://appweb2.asfi.gob.bo/PaginasPublicas2/vistareportevalores/EvolutivoFondosInversion.aspx
[FULL_10_ASFI_FINRURAL] t=  52.6s | pag= 40 | files=  58 | data=  5 | cola= 214 | prio=10 | https://appweb2.asfi.gob.bo/PaginasPublicas2/vistareportevalores/fondosInversionGeneral.aspx
[FULL_10_ASFI_FINRURAL] t=  53.5s | pag= 41 | files=  58 | data=  5 | cola= 213 | prio=10 | https://www.asfi.gob.bo/la/1deg-reclamos-recibidos-entidades-financieras-primera-instancia-2026
[FULL_10_ASFI_FINRURAL] t=  56.5s | pag= 42 | files=  60 | data=  5 | cola= 212 | prio=10 | https://www.asfi.gob.bo/node/959
[FULL_10_ASFI_FINRURAL] t=  59.5s | pag= 43 | files=  62 | data=  5 | cola= 211 | prio=10 | https://www.asfi.gob.bo/node/962
[FULL_10_ASFI_FINRURAL] t=  60.1s | pag= 44 | files=  64 | data=  5 | cola= 210 | prio=10 | https://www.asfi.gob.bo/node/965
[FULL_10_ASFI_FINRURAL] t=  60.8s | pag= 45 | files=  66 | data=  5 | cola= 209 | prio=10 | https://www.asfi.gob.bo/node/968
[FULL_10_ASFI_FINRURAL] t=  61.2s | pag= 46 | files=  68 | data=  5 | cola= 208 | prio=10 | https://www.asfi.gob.bo/node/971
[FULL_10_ASFI_FINRURAL] t=  62.1s | pag= 47 | files=  70 | data=  5 | cola= 207 | prio=10 | https://www.asfi.gob.bo/node/974
[FULL_10_ASFI_FINRURAL] t=  62.6s | pag= 48 | files=  72 | data=  5 | cola= 206 | prio=10 | https://www.asfi.gob.bo/node/977
[FULL_10_ASFI_FINRURAL] t=  63.6s | pag= 49 | files=  74 | data=  5 | cola= 205 | prio=10 | https://www.asfi.gob.bo/node/980
[FULL_10_ASFI_FINRURAL] t=  64.1s | pag= 50 | files=  76 | data=  5 | cola= 204 | prio=10 | https://www.asfi.gob.bo/node/983
