================================================================================
CRAWLER V2
================================================================================
Fuente: Autoridad de Supervisión del Sistema Financiero
URL configurada: https://www.asfi.gob.bo/
Timeout HTTP: 15 s
Pausa HTTP:   aleatoria 0.30s - 0.90s


Resolución de fuente:
  Original: https://www.asfi.gob.bo/
  Utilizada: https://www.asfi.gob.bo/
  Fallback: no
  Intentos: 1
    - usable         | HTTP=200 | https://www.asfi.gob.bo/

URL de trabajo: https://www.asfi.gob.bo/
Seeds: 5
Máx páginas: 10000
Máx archivos: 100000
Máx profundidad: 20

[ASFI] t=  75.5s | pag= 38 | files=  77 | data=  2 | cola= 193 | prio=10 | https://www.asfi.gob.bo/node/989
[ASFI] t=  76.4s | pag= 39 | files=  79 | data=  2 | cola= 192 | prio=10 | https://www.asfi.gob.bo/node/992
[ASFI] t=  77.1s | pag= 40 | files=  81 | data=  2 | cola= 191 | prio=10 | https://www.asfi.gob.bo/la/boletin-trimestral-actualizacion-y-emision-normativa-2026
[ASFI] t=  77.9s | pag= 41 | files=  83 | data=  2 | cola= 190 | prio=10 | https://www.asfi.gob.bo/pb/puntos-atencion-financiera-eif
[ASFI] t=  78.8s | pag= 42 | files=  83 | data=  2 | cola= 189 | prio=10 | https://www.asfi.gob.bo/pb/puntos-atencion-financiera-mv
[ASFI] t=  79.7s | pag= 43 | files=  83 | data=  2 | cola= 188 | prio=10 | https://www.asfi.gob.bo/pb/puntos-atencion-financiera-esfc
[ASFI] t=  80.2s | pag= 44 | files=  83 | data=  2 | cola= 187 | prio=10 | https://www.asfi.gob.bo/pagina-lista-boletines?page=1
[ASFI] t=  81.1s | pag= 45 | files=  92 | data=  2 | cola= 187 | prio=10 | https://www.asfi.gob.bo/pagina-lista-boletines?page=2
[ASFI] t=  81.9s | pag= 46 | files= 100 | data=  2 | cola= 186 | prio=10 | https://www.asfi.gob.bo/pagina-lista-boletines?page=0
[ASFI] t=  82.7s | pag= 47 | files= 100 | data=  2 | cola= 185 | prio=50 | https://www.asfi.gob.bo/pagina-memoria-institucional
[ASFI] t=  83.5s | pag= 48 | files= 110 | data=  2 | cola= 187 | prio=40 | https://www.asfi.gob.bo/pagina-memoria-institucional?page=1
[ASFI] t=  84.0s | pag= 49 | files= 120 | data=  2 | cola= 187 | prio=40 | https://www.asfi.gob.bo/pagina-memoria-institucional?page=2
[ASFI] t=  85.2s | pag= 50 | files= 130 | data=  2 | cola= 186 | prio=40 | https://www.asfi.gob.bo/pagina-memoria-institucional?page=3
[ASFI] t=  86.0s | pag= 51 | files= 136 | data=  2 | cola= 185 | prio=40 | https://www.asfi.gob.bo/pagina-memoria-institucional?page=0
[ASFI] t=  86.9s | pag= 52 | files= 136 | data=  2 | cola= 184 | prio=50 | https://www.asfi.gob.bo/pb/objetivos-institucionales
[ASFI] t=  87.6s | pag= 53 | files= 136 | data=  2 | cola= 183 | prio=50 | https://www.asfi.gob.bo/pb/informacion-mae
[ASFI] t=  88.1s | pag= 54 | files= 136 | data=  2 | cola= 182 | prio=50 | https://www.asfi.gob.bo/la/politica-calidad
[ASFI] t=  88.8s | pag= 55 | files= 136 | data=  2 | cola= 181 | prio=50 | https://www.asfi.gob.bo/pb/plan-estrategico-institucional-pei
[ASFI] t=  89.4s | pag= 56 | files= 137 | data=  2 | cola= 180 | prio=50 | https://www.asfi.gob.bo/pagina-poa
[ASFI] t=  90.3s | pag= 57 | files= 140 | data=  2 | cola= 181 | prio=50 | https://www.asfi.gob.bo/la/seguimiento-y-evaluacion-al-poa
[ASFI] t=  91.0s | pag= 58 | files= 166 | data=  2 | cola= 180 | prio=50 | https://www.asfi.gob.bo/la/mapa-procesos
[ASFI] t=  91.7s | pag= 59 | files= 167 | data=  2 | cola= 179 | prio=50 | https://www.asfi.gob.bo/pb/plan-implementacion-software-libre-y-estandares-abiertos-pislea
[ASFI] t=  92.5s | pag= 60 | files= 168 | data=  2 | cola= 178 | prio=50 | https://www.asfi.gob.bo/presupuesto-institucional
[ASFI] t=  93.3s | pag= 61 | files= 170 | data=  2 | cola= 177 | prio=50 | https://www.asfi.gob.bo/pb/ejecucion-presupuestaria
[ASFI] t=  94.0s | pag= 62 | files= 171 | data=  2 | cola= 176 | prio=50 | https://www.asfi.gob.bo/pb/fuentes-financiamiento
[ASFI] t=  94.5s | pag= 63 | files= 174 | data=  2 | cola= 175 | prio=50 | https://www.asfi.gob.bo/la/balance-general
[ASFI] t=  95.5s | pag= 64 | files= 180 | data=  2 | cola= 174 | prio=50 | https://www.asfi.gob.bo/auditorias
[ASFI] t=  96.4s | pag= 65 | files= 222 | data=  2 | cola= 177 | prio=40 | https://www.asfi.gob.bo/auditorias?page=1
[ASFI] t=  97.1s | pag= 66 | files= 295 | data=  2 | cola= 177 | prio=40 | https://www.asfi.gob.bo/auditorias?page=2
[ASFI] t=  98.1s | pag= 67 | files= 354 | data=  2 | cola= 176 | prio=40 | https://www.asfi.gob.bo/auditorias?page=3
[ASFI] t=  98.6s | pag= 68 | files= 410 | data=  2 | cola= 175 | prio=40 | https://www.asfi.gob.bo/auditorias?page=4
[ASFI] t=  99.5s | pag= 69 | files= 412 | data=  2 | cola= 174 | prio=40 | https://www.asfi.gob.bo/auditorias?page=0
[ASFI] t= 100.1s | pag= 70 | files= 412 | data=  2 | cola= 173 | prio=50 | https://www.asfi.gob.bo/pb/gestion-denuncias-actoshechos-corrupcion
[ASFI] t= 101.0s | pag= 71 | files= 413 | data=  2 | cola= 172 | prio=50 | https://www.asfi.gob.bo/form/solicitud-de-informacion
[ASFI] t= 101.8s | pag= 72 | files= 413 | data=  2 | cola= 171 | prio=50 | https://www.asfi.gob.bo/rendicion
[ASFI] t= 102.5s | pag= 73 | files= 423 | data=  2 | cola= 172 | prio=40 | https://www.asfi.gob.bo/rendicion?page=1
[ASFI] t= 103.2s | pag= 74 | files= 440 | data=  2 | cola= 172 | prio=40 | https://www.asfi.gob.bo/rendicion?page=2
[ASFI] t= 103.9s | pag= 75 | files= 450 | data=  2 | cola= 171 | prio=40 | https://www.asfi.gob.bo/rendicion?page=0
[ASFI] t= 104.4s | pag= 76 | files= 450 | data=  2 | cola= 170 | prio=50 | https://www.asfi.gob.bo/la/programa-tranca-cero
[ASFI] t= 105.0s | pag= 77 | files= 452 | data=  2 | cola= 169 | prio=50 | https://www.asfi.gob.bo/p-gina-de-notas-de-prensa
[ASFI] t= 105.5s | pag= 78 | files= 452 | data=  2 | cola= 176 | prio=40 | https://www.asfi.gob.bo/p-gina-de-notas-de-prensa?page=1
[ASFI] t= 106.0s | pag= 79 | files= 452 | data=  2 | cola= 185 | prio=40 | https://www.asfi.gob.bo/p-gina-de-notas-de-prensa?page=2
[ASFI] t= 106.5s | pag= 80 | files= 452 | data=  2 | cola= 191 | prio=40 | https://www.asfi.gob.bo/p-gina-de-notas-de-prensa?page=0
[ASFI] t= 107.4s | pag= 81 | files= 452 | data=  2 | cola= 190 | prio=50 | https://www.asfi.gob.bo/pagina-de-revistas
[ASFI] t= 108.1s | pag= 82 | files= 454 | data=  2 | cola= 189 | prio=50 | https://www.asfi.gob.bo/pb/trabajos-investigacion
[ASFI] t= 109.1s | pag= 83 | files= 454 | data=  2 | cola= 191 | prio= 2 | https://www.asfi.gob.bo/pb/publicaciones
[ASFI] t= 110.0s | pag= 84 | files= 458 | data=  2 | cola= 190 | prio= 2 | https://www.asfi.gob.bo/pagina-de-otras-publicaciones
[ASFI] t= 110.7s | pag= 85 | files= 460 | data=  2 | cola= 189 | prio=50 | https://www.asfi.gob.bo/pagina-lista-campanias
[ASFI] t= 111.2s | pag= 86 | files= 460 | data=  2 | cola= 200 | prio=40 | https://www.asfi.gob.bo/pagina-lista-campanias?page=1
[ASFI] t= 111.9s | pag= 87 | files= 460 | data=  2 | cola= 209 | prio=40 | https://www.asfi.gob.bo/pagina-lista-campanias?page=2
[ASFI] t= 112.6s | pag= 88 | files= 460 | data=  2 | cola= 218 | prio=40 | https://www.asfi.gob.bo/pagina-lista-campanias?page=4
[ASFI] t= 113.7s | pag= 89 | files= 460 | data=  2 | cola= 219 | prio=40 | https://www.asfi.gob.bo/pagina-lista-campanias?page=0
[ASFI] t= 114.6s | pag= 90 | files= 460 | data=  2 | cola= 218 | prio=40 | https://www.asfi.gob.bo/pagina-lista-campanias?page=3
[ASFI] t= 115.5s | pag= 91 | files= 460 | data=  2 | cola= 226 | prio=50 | https://www.asfi.gob.bo/pagina-de-comunicados
[ASFI] t= 116.2s | pag= 92 | files= 470 | data=  2 | cola= 226 | prio=40 | https://www.asfi.gob.bo/pagina-de-comunicados?page=1
[ASFI] t= 116.7s | pag= 93 | files= 478 | data=  2 | cola= 226 | prio=40 | https://www.asfi.gob.bo/pagina-de-comunicados?page=0
[ASFI] t= 117.1s | pag= 94 | files= 478 | data=  2 | cola= 225 | prio=50 | https://www.asfi.gob.bo/pb/organigrama-institucional
[ASFI] t= 117.5s | pag= 95 | files= 479 | data=  2 | cola= 224 | prio=50 | https://www.asfi.gob.bo/la/nomina-servidores
[ASFI] t= 118.0s | pag= 96 | files= 480 | data=  2 | cola= 223 | prio=50 | https://www.asfi.gob.bo/escala-salarial
[ASFI] t= 119.0s | pag= 97 | files= 483 | data=  2 | cola= 222 | prio=50 | https://www.asfi.gob.bo/manual-de-organizaci-n-funcional
[ASFI] t= 119.6s | pag= 98 | files= 484 | data=  2 | cola= 221 | prio=50 | https://www.asfi.gob.bo/manual-de-procedimiento
[ASFI] t= 120.5s | pag= 99 | files= 485 | data=  2 | cola= 220 | prio=50 | https://www.asfi.gob.bo/poais
[ASFI] t= 121.2s | pag=100 | files= 486 | data=  2 | cola= 220 | prio=50 | https://www.asfi.gob.bo/la/manual-puestos
[ASFI] t= 121.8s | pag=101 | files= 509 | data=  2 | cola= 219 | prio=50 | https://www.asfi.gob.bo/oportunidad-de-empleo
[ASFI] t= 122.3s | pag=102 | files= 509 | data=  2 | cola= 218 | prio=50 | https://www.asfi.gob.bo/pb/terminos-referencia-consultores-linea
[ASFI] t= 122.8s | pag=103 | files= 509 | data=  2 | cola= 217 | prio=50 | https://www.asfi.gob.bo/convocatorias
[ASFI] t= 123.5s | pag=104 | files= 519 | data=  2 | cola= 219 | prio=40 | https://www.asfi.gob.bo/convocatorias?page=1
[ASFI] t= 124.1s | pag=105 | files= 529 | data=  2 | cola= 219 | prio=40 | https://www.asfi.gob.bo/convocatorias?page=2
[ASFI] t= 124.8s | pag=106 | files= 539 | data=  2 | cola= 219 | prio=40 | https://www.asfi.gob.bo/convocatorias?page=10
[ASFI] t= 126.8s | pag=107 | files= 540 | data=  2 | cola= 220 | prio=40 | https://www.asfi.gob.bo/convocatorias?page=0
