================================================================================
CRAWLER V2
================================================================================
Fuente: Fundación para el Desarrollo Tecnológico Agropecuario de los Valles
URL configurada: https://www.icco.org
Timeout HTTP: 15 s
Pausa HTTP:   aleatoria 0.30s - 0.90s


Resolución de fuente:
  Original: https://www.icco.org
  Utilizada: https://www.icco.org/
  Fallback: sí
  Intentos: 1
    - usable         | HTTP=200 | https://www.icco.org/

URL de trabajo: https://www.icco.org/
Seeds: 1
Máx páginas: 10000
Máx archivos: 100000
Máx profundidad: 20

[FULL_26_FDTA_VALLES] t=   0.0s | pag=  0 | files=   0 | data=  0 | cola=   0 | prio= 0 | https://www.icco.org/
[FULL_26_FDTA_VALLES] t=  26.9s | pag= 12 | files=   6 | data=  5 | cola=  73 | prio=10 | https://www.icco.org/cocoa-market-report-for-august-2025/
[FULL_26_FDTA_VALLES] t=  28.4s | pag= 13 | files=   6 | data=  5 | cola=  73 | prio=10 | https://www.icco.org/icco-documentation/quarterly-bulletin-of-cocoa-statistics/?s=
[FULL_26_FDTA_VALLES] t=  30.3s | pag= 14 | files=   6 | data=  5 | cola=  72 | prio=10 | https://www.icco.org/icco-documentation/annual-reports-test/
[FULL_26_FDTA_VALLES] t=  32.1s | pag= 15 | files=   8 | data=  5 | cola=  72 | prio=10 | https://www.icco.org/icco-documentation/icco-publications/
[FULL_26_FDTA_VALLES] DATASETS=6 | exportable_data_page | https://www.icco.org/icco-documentation/icco-publications/
[FULL_26_FDTA_VALLES] t=  33.8s | pag= 16 | files=  16 | data=  6 | cola=  72 | prio=10 | https://www.icco.org/may-2026-quarterly-bulletin-of-cocoa-statistics/?s=
[FULL_26_FDTA_VALLES] t=  35.3s | pag= 17 | files=  16 | data=  6 | cola=  71 | prio=10 | https://www.icco.org/february-2026-quarterly-bulletin-of-cocoa-statistics/?s=
[FULL_26_FDTA_VALLES] t=  36.9s | pag= 18 | files=  16 | data=  6 | cola=  70 | prio=10 | https://www.icco.org/cocoa-market-report-for-november-2025/?s=
[FULL_26_FDTA_VALLES] t=  38.5s | pag= 19 | files=  16 | data=  6 | cola=  69 | prio=10 | https://www.icco.org/november-2025-quarterly-bulletin-of-cocoa-statistics/?s=
[FULL_26_FDTA_VALLES] t=  40.0s | pag= 20 | files=  16 | data=  6 | cola=  68 | prio=10 | https://www.icco.org/cocoa-market-report-for-october-2025/?s=
[FULL_26_FDTA_VALLES] t=  41.8s | pag= 21 | files=  16 | data=  6 | cola=  67 | prio=10 | https://www.icco.org/cocoa-market-report-for-september-2025/?s=
[FULL_26_FDTA_VALLES] t=  43.6s | pag= 22 | files=  16 | data=  6 | cola=  66 | prio=10 | https://www.icco.org/cocoa-market-report-for-august-2025/?s=
[FULL_26_FDTA_VALLES] t=  45.5s | pag= 23 | files=  16 | data=  6 | cola=  65 | prio=10 | https://www.icco.org/icco-documentation/annual-reports-test/?s=
[FULL_26_FDTA_VALLES] t=  47.1s | pag= 24 | files=  16 | data=  6 | cola=  64 | prio=10 | https://www.icco.org/icco-documentation/icco-publications/?s=
[FULL_26_FDTA_VALLES] DATASETS=7 | exportable_data_page | https://www.icco.org/icco-documentation/icco-publications/?s=
[FULL_26_FDTA_VALLES] t=  48.8s | pag= 25 | files=  16 | data=  7 | cola=  63 | prio=50 | https://www.icco.org/consultative-board/
[FULL_26_FDTA_VALLES] t=  51.6s | pag= 26 | files=  16 | data=  7 | cola=  64 | prio=50 | https://www.icco.org/member-area/
[FULL_26_FDTA_VALLES] t=  54.1s | pag= 27 | files=  16 | data=  7 | cola=  63 | prio=50 | https://www.icco.org/my-account/
[FULL_26_FDTA_VALLES] t=  55.6s | pag= 28 | files=  16 | data=  7 | cola=  64 | prio=50 | https://www.icco.org/cart/
[FULL_26_FDTA_VALLES] t=  57.9s | pag= 29 | files=  16 | data=  7 | cola=  64 | prio=50 | https://www.icco.org/who-we-are/
[FULL_26_FDTA_VALLES] t=  59.0s | pag= 30 | files=  16 | data=  7 | cola=  65 | prio=50 | https://www.icco.org/who-we-are/governance/
