================================================================================
CRAWLER V2
================================================================================
Fuente: APS - Seguros SOAT
URL configurada: https://www.aps.gob.bo
Timeout HTTP: 15 s
Pausa HTTP:   aleatoria 0.30s - 0.90s


Resolución de fuente:
  Original: https://www.aps.gob.bo
  Utilizada: https://www.aps.gob.bo/
  Fallback: sí
  Intentos: 1
    - usable         | HTTP=200 | https://www.aps.gob.bo/

URL de trabajo: https://www.aps.gob.bo/
Seeds: 1
Máx páginas: 10000
Máx archivos: 100000
Máx profundidad: 20

[FULL_7_APS_SOAT] t=  30.0s | pag= 32 | files= 146 | data=  1 | cola=  30 | prio=50 | https://www.aps.gob.bo/index.php?id=124&option=com_sppagebuilder&view=page
[FULL_7_APS_SOAT] t=  30.9s | pag= 33 | files= 146 | data=  1 | cola=  30 | prio=50 | https://www.aps.gob.bo/index.php?id=24&option=com_sppagebuilder&view=page
[FULL_7_APS_SOAT] t=  31.7s | pag= 34 | files= 146 | data=  1 | cola=  32 | prio=50 | https://www.aps.gob.bo/index.php?id=73&option=com_sppagebuilder&view=page
[FULL_7_APS_SOAT] t=  32.7s | pag= 35 | files= 146 | data=  1 | cola=  34 | prio=50 | https://moodle.aps.gob.bo/
[FULL_7_APS_SOAT] t=  34.1s | pag= 36 | files= 146 | data=  1 | cola=  56 | prio=10 | https://moodle.aps.gob.bo/admin/tool/dataprivacy/summary.php
[FULL_7_APS_SOAT] t=  34.6s | pag= 37 | files= 146 | data=  1 | cola=  57 | prio=10 | https://moodle.aps.gob.bo/admin/tool/dataprivacy/summary.php?lang=en
[FULL_7_APS_SOAT] t=  35.3s | pag= 38 | files= 146 | data=  1 | cola=  56 | prio=10 | https://moodle.aps.gob.bo/admin/tool/dataprivacy/summary.php?lang=es
[FULL_7_APS_SOAT] t=  36.0s | pag= 39 | files= 146 | data=  1 | cola=  55 | prio=50 | https://www.aps.gob.bo/index.php?id=26&option=com_sppagebuilder&view=page
[FULL_7_APS_SOAT] t=  37.0s | pag= 40 | files= 146 | data=  1 | cola=  58 | prio=50 | https://www.aps.gob.bo/index.php?id=69&option=com_sppagebuilder&view=page
[FULL_7_APS_SOAT] t=  37.5s | pag= 41 | files= 146 | data=  1 | cola=  61 | prio=50 | https://www.aps.gob.bo/index.php/component/spsimpleportfolio/item/24-bicentenario-ministerio-de-economia-y-finanzas-publicas?Itemid=0
[FULL_7_APS_SOAT] t=  38.4s | pag= 42 | files= 146 | data=  1 | cola=  60 | prio=50 | https://www.aps.gob.bo/index.php/component/spsimpleportfolio/item/31-fortaleciendo-la-seguridad?Itemid=0
[FULL_7_APS_SOAT] t=  39.0s | pag= 43 | files= 146 | data=  1 | cola=  59 | prio=50 | https://www.aps.gob.bo/index.php/component/spsimpleportfolio/item/30-mayor-inclusion?Itemid=0
[FULL_7_APS_SOAT] t=  39.9s | pag= 44 | files= 146 | data=  1 | cola=  58 | prio=50 | https://www.aps.gob.bo/index.php/component/spsimpleportfolio/item/29-trabajamos-por-la-proteccion?Itemid=0
[FULL_7_APS_SOAT] t=  40.3s | pag= 45 | files= 146 | data=  1 | cola=  57 | prio=50 | https://www.aps.gob.bo/index.php?id=75&option=com_sppagebuilder&view=page
[FULL_7_APS_SOAT] t=  41.2s | pag= 46 | files= 146 | data=  1 | cola=  56 | prio=50 | https://www.aps.gob.bo/index.php?id=59&option=com_sppagebuilder&view=page
[FULL_7_APS_SOAT] t=  42.1s | pag= 47 | files= 146 | data=  1 | cola=  56 | prio=50 | https://www.aps.gob.bo/index.php?id=60&option=com_sppagebuilder&view=page
[FULL_7_APS_SOAT] t=  42.9s | pag= 48 | files= 146 | data=  1 | cola=  55 | prio=50 | https://www.aps.gob.bo/index.php?id=115&option=com_sppagebuilder&view=page
[FULL_7_APS_SOAT] t=  43.6s | pag= 49 | files= 146 | data=  1 | cola=  54 | prio=50 | https://www.aps.gob.bo/atencion-al-ciudadano/guia-de-tramites/aportes-en-el-exterior
[FULL_7_APS_SOAT] t=  44.5s | pag= 49 | files= 146 | data=  1 | cola=  53 | prio=50 | https://aplicaciones.aps.gob.bo/CRS
[FULL_7_APS_SOAT] t=  45.3s | pag= 50 | files= 151 | data=  1 | cola=  53 | prio=50 | https://www.aps.gob.bo/index.php?id=77&option=com_sppagebuilder&view=page
[FULL_7_APS_SOAT] t=  46.3s | pag= 51 | files= 151 | data=  1 | cola=  52 | prio=50 | https://www.aps.gob.bo/index.php?id=63&option=com_sppagebuilder&view=page
[FULL_7_APS_SOAT] t=  47.0s | pag= 52 | files= 151 | data=  1 | cola=  51 | prio=50 | https://www.aps.gob.bo/index.php?id=64&option=com_sppagebuilder&view=page
[FULL_7_APS_SOAT] t=  48.0s | pag= 53 | files= 151 | data=  1 | cola=  50 | prio=50 | https://www.aps.gob.bo/index.php?id=126&option=com_sppagebuilder&view=page
[FULL_7_APS_SOAT] t=  48.8s | pag= 54 | files= 151 | data=  1 | cola=  49 | prio=50 | https://www.aps.gob.bo/index.php?id=129&option=com_sppagebuilder&view=page
[FULL_7_APS_SOAT] t=  49.7s | pag= 55 | files= 151 | data=  1 | cola=  50 | prio=50 | https://www.aps.gob.bo/index.php?id=109&option=com_sppagebuilder&view=page
[FULL_7_APS_SOAT] t=  50.4s | pag= 56 | files= 151 | data=  1 | cola=  49 | prio=50 | https://www.aps.gob.bo/index.php?id=127&option=com_sppagebuilder&view=page
[FULL_7_APS_SOAT] t=  51.4s | pag= 57 | files= 151 | data=  1 | cola=  48 | prio=50 | https://www.aps.gob.bo/index.php?id=101&option=com_sppagebuilder&view=page
[FULL_7_APS_SOAT] t=  52.5s | pag= 58 | files= 151 | data=  1 | cola=  47 | prio=50 | https://www.aps.gob.bo/index.php?id=107&option=com_sppagebuilder&view=page
[FULL_7_APS_SOAT] t=  53.3s | pag= 59 | files= 152 | data=  1 | cola=  46 | prio=50 | https://www.aps.gob.bo/index.php?id=108&option=com_sppagebuilder&view=page
[FULL_7_APS_SOAT] t=  54.0s | pag= 60 | files= 153 | data=  1 | cola=  45 | prio=50 | https://www.aps.gob.bo/index.php?id=130&option=com_sppagebuilder&view=page
[FULL_7_APS_SOAT] t=  54.5s | pag= 61 | files= 153 | data=  1 | cola=  46 | prio=50 | https://www.aps.gob.bo/index.php?id=41&option=com_sppagebuilder&view=page
[FULL_7_APS_SOAT] t=  55.3s | pag= 62 | files= 153 | data=  1 | cola=  45 | prio=50 | https://www.aps.gob.bo/index.php?id=72&option=com_sppagebuilder&view=page
[FULL_7_APS_SOAT] t=  55.9s | pag= 63 | files= 153 | data=  1 | cola=  45 | prio=50 | http://moodle.aps.gob.bo/course/index.php?categoryid=6
[FULL_7_APS_SOAT] t=  56.5s | pag= 64 | files= 153 | data=  1 | cola=  46 | prio=50 | https://moodle.aps.gob.bo/?lang=en
[FULL_7_APS_SOAT] t=  57.2s | pag= 65 | files= 153 | data=  1 | cola=  45 | prio=50 | https://moodle.aps.gob.bo/?lang=es
[FULL_7_APS_SOAT] t=  57.5s | pag= 66 | files= 153 | data=  1 | cola=  44 | prio=50 | https://moodle.aps.gob.bo/mod/quiz/view.php?id=2004
[FULL_7_APS_SOAT] t=  58.3s | pag= 67 | files= 153 | data=  1 | cola=  43 | prio=50 | https://moodle.aps.gob.bo/course/index.php
[FULL_7_APS_SOAT] t=  59.2s | pag= 68 | files= 153 | data=  1 | cola=  44 | prio=50 | https://moodle.aps.gob.bo/course/index.php?categoryid=7
[FULL_7_APS_SOAT] t=  59.7s | pag= 69 | files= 153 | data=  1 | cola=  44 | prio=50 | https://moodle.aps.gob.bo/course/index.php?categoryid=3
[FULL_7_APS_SOAT] t=  60.5s | pag= 70 | files= 153 | data=  1 | cola=  45 | prio=50 | https://moodle.aps.gob.bo/course/index.php?categoryid=8
[FULL_7_APS_SOAT] t=  61.1s | pag= 71 | files= 153 | data=  1 | cola=  46 | prio=50 | https://moodle.aps.gob.bo/course/index.php?categoryid=9
[FULL_7_APS_SOAT] t=  62.0s | pag= 72 | files= 153 | data=  1 | cola=  47 | prio=50 | https://moodle.aps.gob.bo/course/view.php?id=228
[FULL_7_APS_SOAT] t=  62.7s | pag= 72 | files= 153 | data=  1 | cola=  46 | prio=50 | https://moodle.aps.gob.bo/course/view.php?id=229
[FULL_7_APS_SOAT] t=  63.7s | pag= 72 | files= 153 | data=  1 | cola=  45 | prio=50 | https://moodle.aps.gob.bo/course/view.php?id=230
[FULL_7_APS_SOAT] t=  64.8s | pag= 72 | files= 153 | data=  1 | cola=  44 | prio=50 | https://moodle.aps.gob.bo/course/view.php?id=231
[FULL_7_APS_SOAT] t=  66.2s | pag= 72 | files= 153 | data=  1 | cola=  43 | prio=50 | https://moodle.aps.gob.bo/course/view.php?id=233
[FULL_7_APS_SOAT] t=  67.4s | pag= 72 | files= 153 | data=  1 | cola=  42 | prio=50 | https://moodle.aps.gob.bo/course/view.php?id=199
[FULL_7_APS_SOAT] t=  68.3s | pag= 72 | files= 153 | data=  1 | cola=  41 | prio=50 | https://moodle.aps.gob.bo/course/view.php?id=222
[FULL_7_APS_SOAT] t=  69.4s | pag= 72 | files= 153 | data=  1 | cola=  40 | prio=50 | https://moodle.aps.gob.bo/course/view.php?id=210
[FULL_7_APS_SOAT] t=  70.2s | pag= 72 | files= 153 | data=  1 | cola=  39 | prio=50 | https://moodle.aps.gob.bo/user/view.php?course=1&id=942
[FULL_7_APS_SOAT] t=  71.5s | pag= 72 | files= 153 | data=  1 | cola=  38 | prio=50 | https://moodle.aps.gob.bo/user/view.php?course=1&id=451
[FULL_7_APS_SOAT] t=  72.9s | pag= 72 | files= 153 | data=  1 | cola=  37 | prio=50 | https://moodle.aps.gob.bo/course/view.php?id=209
[FULL_7_APS_SOAT] t=  73.7s | pag= 72 | files= 153 | data=  1 | cola=  36 | prio=50 | https://www.aps.gob.bo/index.php?id=135&option=com_sppagebuilder&view=page
[FULL_7_APS_SOAT] t=  74.9s | pag= 73 | files= 155 | data=  1 | cola=  35 | prio=50 | https://www.aps.gob.bo/index.php?id=136&option=com_sppagebuilder&view=page
[FULL_7_APS_SOAT] t=  75.6s | pag= 74 | files= 157 | data=  1 | cola=  34 | prio=50 | https://www.aps.gob.bo/index.php?id=56&option=com_sppagebuilder&view=page
[FULL_7_APS_SOAT] t=  76.1s | pag= 75 | files= 157 | data=  1 | cola=  35 | prio=50 | https://www.aps.gob.bo/index.php?id=55&option=com_sppagebuilder&view=page
[FULL_7_APS_SOAT] t=  76.7s | pag= 76 | files= 157 | data=  1 | cola=  35 | prio=50 | https://www.aps.gob.bo/index.php?id=70&option=com_sppagebuilder&view=page
[FULL_7_APS_SOAT] t=  77.3s | pag= 77 | files= 157 | data=  1 | cola=  35 | prio=50 | https://www.aps.gob.bo/index.php?id=120&option=com_sppagebuilder&view=page
[FULL_7_APS_SOAT] t=  78.3s | pag= 78 | files= 157 | data=  1 | cola=  34 | prio=50 | https://www.aps.gob.bo/index.php?id=121&option=com_sppagebuilder&view=page
[FULL_7_APS_SOAT] t=  79.1s | pag= 79 | files= 157 | data=  1 | cola=  33 | prio=50 | https://www.aps.gob.bo/index.php?id=122&option=com_sppagebuilder&view=page
[FULL_7_APS_SOAT] t=  79.9s | pag= 80 | files= 157 | data=  1 | cola=  32 | prio=50 | https://www.aps.gob.bo/index.php?id=58&option=com_sppagebuilder&view=page
[FULL_7_APS_SOAT] t=  81.0s | pag= 81 | files= 157 | data=  1 | cola=  31 | prio=50 | https://aplicaciones.aps.gob.bo/CRS/Actualizaciones.aspx
[FULL_7_APS_SOAT] t=  84.7s | pag= 82 | files= 160 | data=  1 | cola=  30 | prio=50 | https://www.aps.gob.bo/images/dossier/index.html
[FULL_7_APS_SOAT] t=  85.2s | pag= 83 | files= 160 | data=  1 | cola=  31 | prio=50 | https://www.aps.gob.bo/pages/dossierv2/index.html
[FULL_7_APS_SOAT] t=  85.9s | pag= 84 | files= 160 | data=  1 | cola=  31 | prio=50 | https://www.aps.gob.bo/pages/compendios/pensiones/
[FULL_7_APS_SOAT] t=  86.8s | pag= 85 | files= 686 | data=  1 | cola=  30 | prio=50 | https://www.aps.gob.bo/pages/compendios/seguros/
[FULL_7_APS_SOAT] t=  87.1s | pag= 86 | files= 871 | data=  1 | cola=  29 | prio=50 | https://www.aps.gob.bo/index.php?id=34&option=com_sppagebuilder&view=page
[FULL_7_APS_SOAT] t=  87.7s | pag= 87 | files= 871 | data=  1 | cola=  28 | prio=50 | https://moodle.aps.gob.bo/course/index.php?categoryid=6&lang=en
[FULL_7_APS_SOAT] t=  88.4s | pag= 88 | files= 871 | data=  1 | cola=  27 | prio=50 | https://moodle.aps.gob.bo/course/index.php?categoryid=6&lang=es
[FULL_7_APS_SOAT] t=  89.3s | pag= 89 | files= 871 | data=  1 | cola=  26 | prio=50 | https://moodle.aps.gob.bo/course/index.php?lang=en
[FULL_7_APS_SOAT] t=  89.7s | pag= 90 | files= 871 | data=  1 | cola=  25 | prio=50 | https://moodle.aps.gob.bo/course/index.php?lang=es
[FULL_7_APS_SOAT] t=  90.4s | pag= 91 | files= 871 | data=  1 | cola=  24 | prio=50 | https://moodle.aps.gob.bo/course/index.php?categoryid=7&lang=en
[FULL_7_APS_SOAT] t=  91.2s | pag= 92 | files= 871 | data=  1 | cola=  23 | prio=50 | https://moodle.aps.gob.bo/course/index.php?categoryid=7&lang=es
[FULL_7_APS_SOAT] t=  92.0s | pag= 93 | files= 871 | data=  1 | cola=  22 | prio=50 | https://moodle.aps.gob.bo/course/index.php?categoryid=3&lang=en
[FULL_7_APS_SOAT] t=  92.9s | pag= 94 | files= 871 | data=  1 | cola=  21 | prio=50 | https://moodle.aps.gob.bo/course/index.php?categoryid=3&lang=es
[FULL_7_APS_SOAT] t=  93.6s | pag= 95 | files= 871 | data=  1 | cola=  20 | prio=50 | https://moodle.aps.gob.bo/course/index.php?categoryid=8&lang=en
[FULL_7_APS_SOAT] t=  94.0s | pag= 96 | files= 871 | data=  1 | cola=  19 | prio=50 | https://moodle.aps.gob.bo/course/index.php?categoryid=8&lang=es
[FULL_7_APS_SOAT] t=  94.6s | pag= 97 | files= 871 | data=  1 | cola=  18 | prio=50 | https://moodle.aps.gob.bo/course/index.php?categoryid=9&lang=en
[FULL_7_APS_SOAT] t=  95.2s | pag= 98 | files= 871 | data=  1 | cola=  17 | prio=50 | https://moodle.aps.gob.bo/course/index.php?categoryid=9&lang=es
[FULL_7_APS_SOAT] t=  95.8s | pag= 99 | files= 871 | data=  1 | cola=  16 | prio=50 | https://www.aps.gob.bo/index.php?id=97&option=com_sppagebuilder&view=page
[FULL_7_APS_SOAT] t=  97.3s | pag=100 | files= 876 | data=  1 | cola=  15 | prio=50 | https://www.aps.gob.bo/index.php?id=93&option=com_sppagebuilder&view=page
[FULL_7_APS_SOAT] t=  97.9s | pag=101 | files= 878 | data=  1 | cola=  14 | prio=50 | https://www.aps.gob.bo/index.php/atencion-al-ciudadano/renta-dignidad/requisitos
