================================================================================
CRAWLER V2
================================================================================
Fuente: Banco Central de Bolivia
URL configurada: https://www.bcb.gob.bo/
Timeout HTTP: 15 s
Pausa HTTP:   aleatoria 0.30s - 0.90s


Resolución de fuente:
  Original: https://www.bcb.gob.bo/
  Utilizada: https://www.bcb.gob.bo/
  Fallback: no
  Intentos: 1
    - usable         | HTTP=200 | https://www.bcb.gob.bo/

URL de trabajo: https://www.bcb.gob.bo/
Seeds: 1
Máx páginas: 10000
Máx archivos: 100000
Máx profundidad: 20

[BCB] t=   0.0s | pag=  0 | files=   0 | data=  0 | cola=   0 | prio= 0 | https://www.bcb.gob.bo/
[BCB] t= 425.7s | pag= 34 | files= 726 | data=  4 | cola= 199 | prio= 2 | https://www.bcb.gob.bo/?page=1&q=moneda-mercado-semanal
[BCB] t= 427.5s | pag= 35 | files= 736 | data=  4 | cola= 198 | prio= 2 | https://www.bcb.gob.bo/?page=2&q=moneda-mercado-semanal
[BCB] t= 429.2s | pag= 36 | files= 746 | data=  4 | cola= 197 | prio= 2 | https://www.bcb.gob.bo/?page=3&q=moneda-mercado-semanal
[BCB] t= 430.6s | pag= 37 | files= 756 | data=  4 | cola= 196 | prio= 2 | https://www.bcb.gob.bo/?page=4&q=moneda-mercado-semanal
[BCB] t= 431.9s | pag= 38 | files= 766 | data=  4 | cola= 195 | prio= 2 | https://www.bcb.gob.bo/?page=5&q=moneda-mercado-semanal
[BCB] t= 433.8s | pag= 39 | files= 776 | data=  4 | cola= 195 | prio= 2 | https://www.bcb.gob.bo/?page=6&q=moneda-mercado-semanal
[BCB] t= 435.2s | pag= 40 | files= 786 | data=  4 | cola= 195 | prio= 2 | https://www.bcb.gob.bo/?page=7&q=moneda-mercado-semanal
[BCB] t= 436.8s | pag= 41 | files= 796 | data=  4 | cola= 195 | prio= 2 | https://www.bcb.gob.bo/?page=8&q=moneda-mercado-semanal
[BCB] t= 438.3s | pag= 42 | files= 806 | data=  4 | cola= 195 | prio= 2 | https://www.bcb.gob.bo/?page=110&q=moneda-mercado-semanal
[BCB] t= 439.8s | pag= 43 | files= 816 | data=  4 | cola= 202 | prio= 2 | https://www.bcb.gob.bo/?page=1&q=informe-vigilancia-sistema-pagos
[BCB] t= 441.5s | pag= 44 | files= 821 | data=  4 | cola= 201 | prio= 2 | https://www.bcb.gob.bo/?page=1&q=informe-de-estabilidad-financiera
[BCB] t= 443.1s | pag= 45 | files= 831 | data=  4 | cola= 200 | prio= 2 | https://www.bcb.gob.bo/?page=2&q=informe-de-estabilidad-financiera
[BCB] t= 444.7s | pag= 46 | files= 841 | data=  4 | cola= 199 | prio= 2 | https://www.bcb.gob.bo/?page=3&q=informe-de-estabilidad-financiera
[BCB] t= 446.0s | pag= 47 | files= 850 | data=  4 | cola= 198 | prio= 2 | https://www.bcb.gob.bo/?page=1&q=boletines-mensuales
