================================================================================
CRAWLER V2
================================================================================
Fuente: Bureau of Transportation Statistics - TranStats
URL configurada: https://www.transtats.bts.gov/
Timeout HTTP: 15 s
Pausa HTTP:   aleatoria 0.15s - 0.35s


Resolución de fuente:
  Original: https://www.transtats.bts.gov/
  Utilizada: https://www.transtats.bts.gov/
  Fallback: no
  Intentos: 1
    - usable         | HTTP=200 | https://www.transtats.bts.gov/

URL de trabajo: https://www.transtats.bts.gov/
Seeds: 3
Máx páginas: 200
Máx archivos: 20000
Máx profundidad: 6

[TRANSTATS] t=  24.6s | pag= 24 | files=   0 | data=  1 | cola= 265 | prio= 1 | https://www.transtats.bts.gov/dataindex.asp?v0qrA=T&yv5614qr4=QNgNONfR
[TRANSTATS] t=  25.3s | pag= 25 | files=   0 | data=  1 | cola= 270 | prio= 1 | https://www.transtats.bts.gov/dataindex.asp?v0qrA=U&yv5614qr4=QNgNONfR
[TRANSTATS] t=  25.9s | pag= 26 | files=   0 | data=  1 | cola= 277 | prio= 1 | https://www.transtats.bts.gov/dataindex.asp?v0qrA=V&yv5614qr4=QNgNONfR
[TRANSTATS] t=  26.5s | pag= 27 | files=   0 | data=  1 | cola= 281 | prio= 1 | https://www.transtats.bts.gov/dataindex.asp?v0qrA=W&yv5614qr4=QNgNONfR
[TRANSTATS] t=  27.1s | pag= 28 | files=   0 | data=  1 | cola= 280 | prio= 1 | https://www.transtats.bts.gov/dataindex.asp?v0qrA=X&yv5614qr4=QNgNONfR
[TRANSTATS] t=  27.7s | pag= 29 | files=   0 | data=  1 | cola= 279 | prio= 1 | https://www.transtats.bts.gov/dataindex.asp?v0qrA=Y&yv5614qr4=QNgNONfR
[TRANSTATS] t=  28.4s | pag= 30 | files=   0 | data=  1 | cola= 283 | prio= 1 | https://www.transtats.bts.gov/dataindex.asp?v0qrA=Z&yv5614qr4=QNgNONfR
[TRANSTATS] t=  29.2s | pag= 31 | files=   0 | data=  1 | cola= 299 | prio= 1 | https://www.transtats.bts.gov/dataindex.asp?v0qrA=a&yv5614qr4=QNgNONfR
[TRANSTATS] t=  29.8s | pag= 32 | files=   0 | data=  1 | cola= 312 | prio= 1 | https://www.transtats.bts.gov/dataindex.asp?v0qrA=b&yv5614qr4=QNgNONfR
[TRANSTATS] t=  30.4s | pag= 33 | files=   0 | data=  1 | cola= 316 | prio= 1 | https://www.transtats.bts.gov/dataindex.asp?v0qrA=c&yv5614qr4=QNgNONfR
