================================================================================
CRAWLER V2
================================================================================
Fuente: Ministerio de Minería y Metalurgia
URL configurada: https://www.mineria.gob.bo
Timeout HTTP: 10 s
Pausa HTTP:   aleatoria 0.15s - 0.35s


Resolución de fuente:
  Original: https://www.mineria.gob.bo
  Utilizada: https://www.mineria.gob.bo/
  Fallback: sí
  Intentos: 1
    - usable         | HTTP=200 | https://www.mineria.gob.bo/

URL de trabajo: https://www.mineria.gob.bo/
Seeds: 1
Máx páginas: 200
Máx archivos: 20000
Máx profundidad: 6

[FULL_42_MMYM] t=  35.2s | pag= 32 | files= 109 | data=  0 | cola=  37 | prio=50 | https://www.mineria.gob.bo/index.php/manuales-de-procedimiento/
[FULL_42_MMYM] t=  36.1s | pag= 33 | files= 110 | data=  0 | cola=  36 | prio=50 | https://www.mineria.gob.bo/index.php/oportunidad-de-empleo/
[FULL_42_MMYM] t=  36.9s | pag= 34 | files= 110 | data=  0 | cola=  35 | prio=50 | https://www.mineria.gob.bo/index.php/contrataciones/
[FULL_42_MMYM] t=  37.7s | pag= 35 | files= 110 | data=  0 | cola=  34 | prio=50 | https://www.mineria.gob.bo/index.php/listado-de-convocatorias-vigentes-de-bienes-y-servicios/
[FULL_42_MMYM] t=  38.6s | pag= 36 | files= 110 | data=  0 | cola=  33 | prio=50 | https://www.mineria.gob.bo/index.php/proveedores/
[FULL_42_MMYM] t=  39.4s | pag= 37 | files= 110 | data=  0 | cola=  35 | prio=50 | https://www.mineria.gob.bo/index.php/nota_prensa/ministerio-de-mineria-y-metalurgia-socializa-a-la-csutcb-los-avances-del-nuevo-codigo-minero/
[FULL_42_MMYM] t=  40.3s | pag= 38 | files= 110 | data=  0 | cola=  34 | prio=50 | https://www.mineria.gob.bo/index.php/nota_prensa/ministerio-de-mineria-fortalecio-articulacion-institucional-en-materia-ambiental-durante-aniversario-del-tribunal-agroambiental/
[FULL_42_MMYM] t=  41.1s | pag= 39 | files= 110 | data=  0 | cola=  33 | prio=50 | https://www.mineria.gob.bo/index.php/nota_prensa/viceministerio-de-minerales-tecnologicos-informa-que-muestras-de-agua-de-hampaturi-no-evidencian-presencia-de-mercurio/
[FULL_42_MMYM] t=  42.0s | pag= 40 | files= 110 | data=  0 | cola=  32 | prio=50 | https://www.mineria.gob.bo/index.php/nota_prensa/gobierno-fortalece-las-capacidades-tecnicas-del-cooperativismo-minero-con-programa-nacional-de-capacitacion/
[FULL_42_MMYM] t=  42.9s | pag= 41 | files= 110 | data=  0 | cola=  31 | prio=50 | https://www.mineria.gob.bo/index.php/nota_prensa/ministro-de-mineria-y-metalurgia-coordina-con-la-csutcb-nuevos-aportes-para-el-codigo-minero/
[FULL_42_MMYM] t=  43.8s | pag= 42 | files= 110 | data=  0 | cola=  30 | prio=50 | https://www.mineria.gob.bo/index.php/nota_prensa/gobierno-impulsa-la-seguridad-y-productividad-del-cooperativismo-minero-con-programa-de-capacitacion/
[FULL_42_MMYM] t=  44.5s | pag= 43 | files= 110 | data=  0 | cola=  29 | prio=50 | https://cumbre.mineria.gob.bo/
[FULL_42_MMYM] t=  44.5s | pag= 43 | files= 110 | data=  0 | cola=  28 | prio=50 | https://www.mineria.gob.bo/index.php/enlaces-de-interes/
[FULL_42_MMYM] t=  45.5s | pag= 44 | files= 110 | data=  0 | cola=  27 | prio=50 | https://www.mineria.gob.bo/cdn-cgi/l/email-protection
[FULL_42_MMYM] t=  45.7s | pag= 44 | files= 110 | data=  0 | cola=  26 | prio=50 | https://www.mineria.gob.bo/index.php/terminos-y-condiciones/
