================================================================================
CRAWLER V2
================================================================================
Fuente: Ministerio de Desarrollo Rural y Tierras
URL configurada: https://ruralytierras.gob.bo/
Timeout HTTP: 12 s
Pausa HTTP:   aleatoria 0.15s - 0.35s


Resolución de fuente:
  Original: https://ruralytierras.gob.bo/
  Utilizada: https://ruralytierras.gob.bo/
  Fallback: no
  Intentos: 1
    - usable         | HTTP=200 | https://ruralytierras.gob.bo/

URL de trabajo: https://ruralytierras.gob.bo/
Seeds: 8
Máx páginas: 200
Máx archivos: 20000
Máx profundidad: 6

[MDRYT] t=  20.4s | pag= 34 | files=  42 | data=  2 | cola= 389 | prio= 2 | https://ruralytierras.gob.bo/index.php/descripcion-de-las-etapas-del-proceso-como-pruebas-escritas-entrevistas-evaluaciones-etc/
[MDRYT] t=  20.7s | pag= 35 | files=  42 | data=  2 | cola= 388 | prio= 2 | https://ruralytierras.gob.bo/index.php/ejecucion-presupuestaria-por-categoria-programatica/
[MDRYT] t=  21.2s | pag= 36 | files=  42 | data=  2 | cola= 387 | prio= 2 | https://ruralytierras.gob.bo/index.php/ejecucion-presupuestaria-por-fuente-de-financiamiento/
[MDRYT] t=  21.7s | pag= 37 | files=  42 | data=  2 | cola= 386 | prio= 2 | https://ruralytierras.gob.bo/index.php/ejecucion-presupuestaria-por-grupo-de-gasto/
[MDRYT] t=  22.1s | pag= 38 | files=  42 | data=  2 | cola= 385 | prio= 2 | https://ruralytierras.gob.bo/index.php/ejecucion-presupuestaria-por-unidad-organizacional/
[MDRYT] t=  22.5s | pag= 39 | files=  42 | data=  2 | cola= 384 | prio= 2 | https://ruralytierras.gob.bo/index.php/informes/
[MDRYT] t=  22.9s | pag= 40 | files=  42 | data=  2 | cola= 383 | prio= 2 | https://ruralytierras.gob.bo/index.php/informes-periodicos-sobre-el-avance-y-cumplimiento-de-los-contratos-adjudicados/
[MDRYT] t=  23.4s | pag= 41 | files=  42 | data=  2 | cola= 382 | prio= 2 | https://ruralytierras.gob.bo/index.php/presupuesto-actual-aprobado/
[MDRYT] t=  23.7s | pag= 42 | files=  42 | data=  2 | cola= 381 | prio= 2 | https://ruralytierras.gob.bo/index.php/presupuesto-aprobado-por-categoria-programatica/
[MDRYT] t=  24.1s | pag= 43 | files=  42 | data=  2 | cola= 380 | prio= 2 | https://ruralytierras.gob.bo/index.php/presupuesto-aprobado-por-grupo-de-gastos/
[MDRYT] t=  24.5s | pag= 44 | files=  42 | data=  2 | cola= 379 | prio= 2 | https://ruralytierras.gob.bo/index.php/presupuesto-aprobado-por-unidad-organizacional/
[MDRYT] t=  24.8s | pag= 45 | files=  42 | data=  2 | cola= 378 | prio= 2 | https://ruralytierras.gob.bo/index.php/presupuesto-aprobado-unidad-organizacional/
[MDRYT] t=  25.4s | pag= 46 | files=  42 | data=  2 | cola= 377 | prio= 2 | https://ruralytierras.gob.bo/index.php/presupuesto-por-categoria-programatica/
[MDRYT] t=  25.8s | pag= 47 | files=  42 | data=  2 | cola= 376 | prio= 2 | https://ruralytierras.gob.bo/index.php/presupuesto-por-fuente-de-financiamiento/
[MDRYT] t=  26.2s | pag= 48 | files=  42 | data=  2 | cola= 375 | prio= 2 | https://ruralytierras.gob.bo/index.php/programas-y-proyectos-de-inversion/
