================================================================================
CRAWLER V2
================================================================================
Fuente: SIGMA
URL configurada: https://www.sigmacorp.com.bo/
Timeout HTTP: 12 s
Pausa HTTP:   aleatoria 0.15s - 0.35s


Resolución de fuente:
  Original: https://www.sigmacorp.com.bo/
  Utilizada: https://www.sigmacorp.com.bo/
  Fallback: no
  Intentos: 1
    - usable         | HTTP=200 | https://www.sigmacorp.com.bo/

URL de trabajo: https://www.sigmacorp.com.bo/
Seeds: 1
Máx páginas: 200
Máx archivos: 20000
Máx profundidad: 6

[SIGMA] t=  27.9s | pag= 30 | files=   0 | data=  0 | cola=  42 | prio=50 | https://www.sigmacorp.com.bo/bioseguridad/soluciones-hidroalcoholicas/solucion-hidroalcoholica-2-1-l
[SIGMA] t=  28.6s | pag= 31 | files=   0 | data=  0 | cola=  41 | prio=50 | https://www.sigmacorp.com.bo/bioseguridad/soluciones-hidroalcoholicas/solucion-hidroalcoholica-2-400ml
[SIGMA] t=  29.0s | pag= 32 | files=   0 | data=  0 | cola=  40 | prio=50 | https://www.sigmacorp.com.bo/bioseguridad/soluciones-hidroalcoholicas/solucion-hidroalcoholica-2-50-ml
[SIGMA] t=  30.0s | pag= 33 | files=   0 | data=  0 | cola=  39 | prio=50 | https://www.sigmacorp.com.bo/bioseguridad/soluciones-hidroalcoholicas/solucion-hidroalcoholica-2-5-l
[SIGMA] t=  30.6s | pag= 34 | files=   0 | data=  0 | cola=  38 | prio=50 | https://www.sigmacorp.com.bo/bioseguridad/soluciones-hidroalcoholicas/solucion-hidroalcoholica-4-1-l
[SIGMA] t=  31.5s | pag= 35 | files=   0 | data=  0 | cola=  37 | prio=50 | https://www.sigmacorp.com.bo/bioseguridad/soluciones-hidroalcoholicas/solucion-hidroalcoholica-4-5-l
[SIGMA] t=  31.9s | pag= 36 | files=   0 | data=  0 | cola=  36 | prio=50 | https://www.sigmacorp.com.bo/bioseguridad/septi/septi-clorex-1
[SIGMA] t=  32.7s | pag= 37 | files=   0 | data=  0 | cola=  36 | prio=50 | https://www.sigmacorp.com.bo/bioseguridad/septi/septi-clorex-1-l
[SIGMA] t=  33.3s | pag= 38 | files=   0 | data=  0 | cola=  35 | prio=50 | https://www.sigmacorp.com.bo/bioseguridad/septi/septi-clorex-5-l
[SIGMA] t=  33.7s | pag= 39 | files=   0 | data=  0 | cola=  34 | prio=50 | https://www.sigmacorp.com.bo/bioseguridad/clorex/buclorex
[SIGMA] t=  34.6s | pag= 40 | files=   0 | data=  0 | cola=  34 | prio=50 | https://www.sigmacorp.com.bo/bioseguridad/clorex/clorex-2-solucion-hidroalcoholica
[SIGMA] t=  35.3s | pag= 41 | files=   0 | data=  0 | cola=  33 | prio=50 | https://www.sigmacorp.com.bo/bioseguridad/clorex/clorex-2-solucion-jabonosa
[SIGMA] t=  35.7s | pag= 42 | files=   0 | data=  0 | cola=  32 | prio=50 | https://www.sigmacorp.com.bo/bioseguridad/clorex/clorex-4-solucion-hidroalcoholica
[SIGMA] t=  36.6s | pag= 43 | files=   0 | data=  0 | cola=  31 | prio=50 | https://www.sigmacorp.com.bo/bioseguridad/clorex/clorex-4-solucion-jabonosa
[SIGMA] t=  37.0s | pag= 44 | files=   0 | data=  0 | cola=  30 | prio=50 | https://www.sigmacorp.com.bo/bioseguridad/clorex/clorex-comprimido
[SIGMA] t=  37.9s | pag= 45 | files=   0 | data=  0 | cola=  29 | prio=50 | https://www.sigmacorp.com.bo/bioseguridad/clorex/clorex-gel
[SIGMA] t=  38.4s | pag= 46 | files=   0 | data=  0 | cola=  28 | prio=50 | https://www.sigmacorp.com.bo/bioseguridad/clorex/enjuague-bucal
[SIGMA] t=  39.3s | pag= 47 | files=   0 | data=  0 | cola=  27 | prio=50 | https://www.sigmacorp.com.bo/pharmaceutics-products/analgesicos-antiinflamatorios
[SIGMA] t=  40.0s | pag= 48 | files=   0 | data=  0 | cola=  34 | prio=50 | https://www.sigmacorp.com.bo/pharmaceutics-products/antialergicos
[SIGMA] t=  40.3s | pag= 49 | files=   0 | data=  0 | cola=  35 | prio=50 | https://www.sigmacorp.com.bo/pharmaceutics-products/antiinfecciones
[SIGMA] t=  41.0s | pag= 50 | files=   0 | data=  0 | cola=  37 | prio=50 | https://www.sigmacorp.com.bo/pharmaceutics-products/antivirales
[SIGMA] t=  41.4s | pag= 51 | files=   0 | data=  0 | cola=  37 | prio=50 | https://www.sigmacorp.com.bo/pharmaceutics-products/cardiologos
[SIGMA] t=  42.2s | pag= 52 | files=   0 | data=  0 | cola=  38 | prio=50 | https://www.sigmacorp.com.bo/pharmaceutics-products/dermatologicos
[SIGMA] t=  42.6s | pag= 53 | files=   0 | data=  0 | cola=  39 | prio=50 | https://www.sigmacorp.com.bo/pharmaceutics-products/gastrointestinales
[SIGMA] t=  43.4s | pag= 54 | files=   0 | data=  0 | cola=  44 | prio=50 | https://www.sigmacorp.com.bo/pharmaceutics-products/ginecologicos
[SIGMA] t=  43.8s | pag= 55 | files=   0 | data=  0 | cola=  46 | prio=50 | https://www.sigmacorp.com.bo/pharmaceutics-products/neurologicos
[SIGMA] t=  44.6s | pag= 56 | files=   0 | data=  0 | cola=  46 | prio=50 | https://www.sigmacorp.com.bo/pharmaceutics-products/odontologia
[SIGMA] t=  45.0s | pag= 57 | files=   0 | data=  0 | cola=  49 | prio=50 | https://www.sigmacorp.com.bo/pharmaceutics-products/oftalmologia
[SIGMA] t=  46.0s | pag= 58 | files=   0 | data=  0 | cola=  63 | prio=50 | https://www.sigmacorp.com.bo/pharmaceutics-products/urologia
[SIGMA] t=  46.7s | pag= 59 | files=   0 | data=  0 | cola=  65 | prio=50 | https://www.sigmacorp.com.bo/rse/donaciones-a-brigadas-de-rastrillaje-en-cochabamba
[SIGMA] t=  47.1s | pag= 60 | files=   0 | data=  0 | cola=  65 | prio=50 | https://www.sigmacorp.com.bo/rse/donaciones-a-la-policia-nacional
[SIGMA] t=  47.8s | pag= 61 | files=   0 | data=  0 | cola=  64 | prio=50 | https://admin.sigmacorp.com.bo/admin
[SIGMA] t=  48.1s | pag= 62 | files=   0 | data=  0 | cola=  63 | prio=50 | https://www.sigmacorp.com.bo/bioseguridad/
[SIGMA] t=  49.1s | pag= 62 | files=   0 | data=  0 | cola=  62 | prio=50 | https://www.sigmacorp.com.bo/bioseguridad/soluciones-jabonosas
[SIGMA] t=  50.5s | pag= 62 | files=   0 | data=  0 | cola=  61 | prio=50 | https://www.sigmacorp.com.bo/bioseguridad/soluciones-hidroalcoholicas
[SIGMA] t=  51.9s | pag= 62 | files=   0 | data=  0 | cola=  60 | prio=50 | https://www.sigmacorp.com.bo/bioseguridad/septi
[SIGMA] t=  53.4s | pag= 62 | files=   0 | data=  0 | cola=  59 | prio=50 | https://www.sigmacorp.com.bo/bioseguridad/clorex
[SIGMA] t=  54.8s | pag= 62 | files=   0 | data=  0 | cola=  58 | prio=50 | https://www.sigmacorp.com.bo/pharmaceutics-products/analgesicos-antiinflamatorios/anginova
[SIGMA] t=  57.1s | pag= 63 | files=   0 | data=  0 | cola=  67 | prio=50 | https://www.sigmacorp.com.bo/pharmaceutics-products/analgesicos-antiinflamatorios/betamex
[SIGMA] t=  58.0s | pag= 64 | files=   0 | data=  0 | cola=  66 | prio=50 | https://www.sigmacorp.com.bo/pharmaceutics-products/analgesicos-antiinflamatorios/dexametasona-sigma
[SIGMA] t=  58.8s | pag= 65 | files=   0 | data=  0 | cola=  65 | prio=50 | https://www.sigmacorp.com.bo/pharmaceutics-products/analgesicos-antiinflamatorios/diclogel
[SIGMA] t=  59.4s | pag= 66 | files=   0 | data=  0 | cola=  64 | prio=50 | https://www.sigmacorp.com.bo/pharmaceutics-products/analgesicos-antiinflamatorios/pirofen
[SIGMA] t=  60.0s | pag= 67 | files=   0 | data=  0 | cola=  63 | prio=50 | https://www.sigmacorp.com.bo/pharmaceutics-products/analgesicos-antiinflamatorios/frixo-fort
[SIGMA] t=  60.7s | pag= 68 | files=   0 | data=  0 | cola=  62 | prio=50 | https://www.sigmacorp.com.bo/pharmaceutics-products/analgesicos-antiinflamatorios/sigma-brom-100
[SIGMA] t=  61.5s | pag= 69 | files=   0 | data=  0 | cola=  61 | prio=50 | https://www.sigmacorp.com.bo/pharmaceutics-products/analgesicos-antiinflamatorios/trabit
[SIGMA] t=  62.5s | pag= 70 | files=   0 | data=  0 | cola=  60 | prio=50 | https://www.sigmacorp.com.bo/pharmaceutics-products/antialergicos/alergito-gotas
[SIGMA] t=  62.9s | pag= 71 | files=   0 | data=  0 | cola=  62 | prio=50 | https://www.sigmacorp.com.bo/pharmaceutics-products/antialergicos/sinalerg
[SIGMA] t=  63.4s | pag= 72 | files=   0 | data=  0 | cola=  61 | prio=50 | https://www.sigmacorp.com.bo/pharmaceutics-products/antiinfecciones/positrin
[SIGMA] t=  64.0s | pag= 73 | files=   0 | data=  0 | cola=  64 | prio=50 | https://www.sigmacorp.com.bo/pharmaceutics-products/antiinfecciones/taxonid
[SIGMA] t=  64.5s | pag= 74 | files=   0 | data=  0 | cola=  63 | prio=50 | https://www.sigmacorp.com.bo/pharmaceutics-products/antiinfecciones/hostess-suspension
[SIGMA] t=  65.3s | pag= 75 | files=   0 | data=  0 | cola=  62 | prio=50 | https://www.sigmacorp.com.bo/pharmaceutics-products/antivirales/sigmavir
[SIGMA] t=  65.8s | pag= 76 | files=   0 | data=  0 | cola=  63 | prio=50 | https://www.sigmacorp.com.bo/pharmaceutics-products/cardiologos/digoxina-sigma
[SIGMA] t=  66.5s | pag= 77 | files=   0 | data=  0 | cola=  65 | prio=50 | https://www.sigmacorp.com.bo/pharmaceutics-products/cardiologos/sigmaspirin
[SIGMA] t=  67.1s | pag= 78 | files=   0 | data=  0 | cola=  64 | prio=50 | https://www.sigmacorp.com.bo/pharmaceutics-products/dermatologicos/dermatotal-crema
[SIGMA] t=  67.8s | pag= 79 | files=   0 | data=  0 | cola=  66 | prio=50 | https://www.sigmacorp.com.bo/pharmaceutics-products/dermatologicos/biafine-emulsion
