================================================================================
CRAWLER V2
================================================================================
Fuente: Ministerio de Desarrollo Rural y Tierras - OAP
URL configurada: https://www.ruralytierras.gob.bo
Timeout HTTP: 10 s
Pausa HTTP:   aleatoria 0.15s - 0.35s


Resolución de fuente:
  Original: https://www.ruralytierras.gob.bo
  Utilizada: https://ruralytierras.gob.bo/
  Fallback: sí
  Intentos: 2
    - http_error     | HTTP=500 | https://www.ruralytierras.gob.bo/
    - usable         | HTTP=200 | https://ruralytierras.gob.bo/

URL de trabajo: https://ruralytierras.gob.bo/
Seeds: 1
Máx páginas: 200
Máx archivos: 20000
Máx profundidad: 6

[FULL_38_MDRYT_OAP] t=  25.8s | pag= 30 | files=  28 | data=  1 | cola=  44 | prio=50 | http://sigec.ruralytierras.gob.bo/
[FULL_38_MDRYT_OAP] t=  36.2s | pag= 30 | files=  28 | data=  1 | cola=  43 | prio=50 | http://sicop.ruralytierras.gob.bo/
[FULL_38_MDRYT_OAP] t=  46.7s | pag= 30 | files=  28 | data=  1 | cola=  42 | prio=50 | http://sial.ruralytierras.gob.bo/
[FULL_38_MDRYT_OAP] t=  57.1s | pag= 30 | files=  28 | data=  1 | cola=  41 | prio=50 | https://ruralytierras.gob.bo/index.php/2024/03/28/hola-mundo/
[FULL_38_MDRYT_OAP] t=  58.9s | pag= 31 | files=  28 | data=  1 | cola=  40 | prio=50 | https://ruralytierras.gob.bo/index.php/servicio/sanidad-agropecuaria-e-inocuidad-alimentaria/
[FULL_38_MDRYT_OAP] t=  59.2s | pag= 32 | files=  28 | data=  1 | cola=  40 | prio=50 | https://ruralytierras.gob.bo/index.php/servicio/tecnologia-infraestructura-y-servicios-rurales-2/
[FULL_38_MDRYT_OAP] t=  59.6s | pag= 33 | files=  28 | data=  1 | cola=  39 | prio=50 | https://ruralytierras.gob.bo/index.php/servicio/tecnologia-infraestructura-y-servicios-rurales/
[FULL_38_MDRYT_OAP] t=  60.1s | pag= 34 | files=  28 | data=  1 | cola=  38 | prio=50 | https://ruralytierras.gob.bo/index.php/servicio/financiamiento-y-apoyo-a-la-produccion-4/
[FULL_38_MDRYT_OAP] t=  60.4s | pag= 35 | files=  28 | data=  1 | cola=  37 | prio=50 | https://ruralytierras.gob.bo/index.php/nota_prensa/17633/
[FULL_38_MDRYT_OAP] t=  60.9s | pag= 36 | files=  28 | data=  1 | cola=  36 | prio=50 | https://ruralytierras.gob.bo/index.php/nota_prensa/17632/
[FULL_38_MDRYT_OAP] t=  61.5s | pag= 37 | files=  28 | data=  1 | cola=  35 | prio=50 | https://ruralytierras.gob.bo/index.php/nota_prensa/17631/
[FULL_38_MDRYT_OAP] t=  61.9s | pag= 38 | files=  28 | data=  1 | cola=  34 | prio=50 | https://ruralytierras.gob.bo/index.php/nota_prensa/17629/
[FULL_38_MDRYT_OAP] t=  62.3s | pag= 39 | files=  28 | data=  1 | cola=  33 | prio=50 | https://ruralytierras.gob.bo/index.php/nota_prensa/17628/
[FULL_38_MDRYT_OAP] t=  62.8s | pag= 40 | files=  28 | data=  1 | cola=  32 | prio=50 | https://ruralytierras.gob.bo/index.php/nota_prensa/17627/
[FULL_38_MDRYT_OAP] t=  63.3s | pag= 41 | files=  28 | data=  1 | cola=  31 | prio=50 | https://www.ruralytierras.gob.bo/index.php?in=6750
[FULL_38_MDRYT_OAP] t=  65.0s | pag= 42 | files=  28 | data=  1 | cola=  30 | prio=50 | https://ruralytierras.gob.bo/index.php/terminos-y-condiciones/
[FULL_38_MDRYT_OAP] t=  65.3s | pag= 43 | files=  28 | data=  1 | cola=  29 | prio=50 | https://ruralytierras.gob.bo/index.php/politica-privacidad/
[FULL_38_MDRYT_OAP] DATASETS=2 | data_chart | https://ruralytierras.gob.bo/index.php/politica-privacidad/
[FULL_38_MDRYT_OAP] t=  65.7s | pag= 44 | files=  28 | data=  2 | cola=  28 | prio=50 | https://ruralytierras.gob.bo/index.php/mapa-de-sitio/
[FULL_38_MDRYT_OAP] DATASETS=3 | data_chart | https://ruralytierras.gob.bo/index.php/mapa-de-sitio/
[FULL_38_MDRYT_OAP] t=  66.7s | pag= 45 | files=  28 | data=  3 | cola= 922 | prio=10 | https://ruralytierras.gob.bo/index.php/boletines/
[FULL_38_MDRYT_OAP] t=  67.0s | pag= 46 | files=  28 | data=  3 | cola= 921 | prio=10 | https://ruralytierras.gob.bo/index.php/estadisticas/
[FULL_38_MDRYT_OAP] t=  67.3s | pag= 47 | files=  28 | data=  3 | cola= 920 | prio=10 | https://ruralytierras.gob.bo/index.php/informes/
[FULL_38_MDRYT_OAP] t=  67.8s | pag= 48 | files=  28 | data=  3 | cola= 919 | prio=10 | https://ruralytierras.gob.bo/index.php/informes-periodicos-sobre-el-avance-y-cumplimiento-de-los-contratos-adjudicados/
[FULL_38_MDRYT_OAP] t=  68.2s | pag= 49 | files=  28 | data=  3 | cola= 918 | prio=10 | https://ruralytierras.gob.bo/index.php/reportes-de-estadisticas/
[FULL_38_MDRYT_OAP] t=  68.6s | pag= 50 | files=  28 | data=  3 | cola= 917 | prio=10 | https://ruralytierras.gob.bo/index.php/convocatoria/20445/
[FULL_38_MDRYT_OAP] t=  69.1s | pag= 51 | files=  28 | data=  3 | cola= 916 | prio=10 | https://ruralytierras.gob.bo/index.php/datos/tecnologia-1/
[FULL_38_MDRYT_OAP] DATASETS=4 | exportable_data_page | https://ruralytierras.gob.bo/index.php/datos/tecnologia-1/
[FULL_38_MDRYT_OAP] t=  69.7s | pag= 52 | files=  28 | data=  4 | cola= 915 | prio=10 | https://ruralytierras.gob.bo/index.php/rendicion_cuenta/informe-00089-2025-rendicion-publica-de-cuentas-inicial-2025/
[FULL_38_MDRYT_OAP] t=  70.1s | pag= 53 | files=  28 | data=  4 | cola= 914 | prio=10 | https://ruralytierras.gob.bo/index.php/rendicion_cuenta/informe-00026-2025-rendicion-publica-de-cuentas-final-2024/
[FULL_38_MDRYT_OAP] t=  70.4s | pag= 54 | files=  28 | data=  4 | cola= 913 | prio=10 | https://ruralytierras.gob.bo/index.php/rendicion_cuenta/informe-0034-2024-rendicion-publica-de-cuentas-inicial-2024/
[FULL_38_MDRYT_OAP] t=  70.9s | pag= 55 | files=  28 | data=  4 | cola= 912 | prio=10 | https://ruralytierras.gob.bo/index.php/viaje/lorem-titulo-del-informe-de-viaje-al-exterior/
[FULL_38_MDRYT_OAP] t=  71.3s | pag= 56 | files=  28 | data=  4 | cola= 911 | prio=10 | https://ruralytierras.gob.bo/index.php/indicador/sanidad-e-inocuidad-alimentaria-senasag/
[FULL_38_MDRYT_OAP] DATASETS=5 | exportable_data_page | https://ruralytierras.gob.bo/index.php/indicador/sanidad-e-inocuidad-alimentaria-senasag/
[FULL_38_MDRYT_OAP] t=  71.8s | pag= 57 | files=  28 | data=  5 | cola= 910 | prio=10 | https://ruralytierras.gob.bo/index.php/indicador/seguro-agrario-pachamamaseguro-agrario-pachamama/
[FULL_38_MDRYT_OAP] DATASETS=6 | exportable_data_page | https://ruralytierras.gob.bo/index.php/indicador/seguro-agrario-pachamamaseguro-agrario-pachamama/
[FULL_38_MDRYT_OAP] t=  72.2s | pag= 58 | files=  28 | data=  6 | cola= 909 | prio=10 | https://ruralytierras.gob.bo/index.php/indicador/credito-productivo-sibolivia/
[FULL_38_MDRYT_OAP] DATASETS=7 | exportable_data_page | https://ruralytierras.gob.bo/index.php/indicador/credito-productivo-sibolivia/
[FULL_38_MDRYT_OAP] t=  72.7s | pag= 59 | files=  28 | data=  7 | cola= 908 | prio=10 | https://ruralytierras.gob.bo/index.php/indicador/lorem-indicadores-2/
[FULL_38_MDRYT_OAP] DATASETS=8 | exportable_data_page | https://ruralytierras.gob.bo/index.php/indicador/lorem-indicadores-2/
[FULL_38_MDRYT_OAP] t=  73.2s | pag= 60 | files=  28 | data=  8 | cola= 907 | prio=10 | https://ruralytierras.gob.bo/index.php/boletin/16876/
[FULL_38_MDRYT_OAP] t=  73.7s | pag= 61 | files=  28 | data=  8 | cola= 906 | prio=10 | https://ruralytierras.gob.bo/index.php/boletin/lorem-boletin-informativo-lorem/
[FULL_38_MDRYT_OAP] t=  74.2s | pag= 62 | files=  28 | data=  8 | cola= 905 | prio=10 | https://ruralytierras.gob.bo/index.php/boletin/boletin-informativo/
[FULL_38_MDRYT_OAP] t=  74.6s | pag= 63 | files=  28 | data=  8 | cola= 904 | prio=10 | https://ruralytierras.gob.bo/index.php/servidor_publico/apaza-mercado-efrain/
[FULL_38_MDRYT_OAP] DATASETS=9 | exportable_data_page | https://ruralytierras.gob.bo/index.php/servidor_publico/apaza-mercado-efrain/
[FULL_38_MDRYT_OAP] t=  75.0s | pag= 64 | files=  28 | data=  9 | cola= 903 | prio=10 | https://ruralytierras.gob.bo/index.php/servidor_publico/mercado-miranda-gonzalo-wilson/
[FULL_38_MDRYT_OAP] DATASETS=10 | exportable_data_page | https://ruralytierras.gob.bo/index.php/servidor_publico/mercado-miranda-gonzalo-wilson/
[FULL_38_MDRYT_OAP] t=  75.4s | pag= 65 | files=  28 | data= 10 | cola= 902 | prio=10 | https://ruralytierras.gob.bo/index.php/servidor_publico/banegas-mercado-jesus-gabriel/
[FULL_38_MDRYT_OAP] t=  75.9s | pag= 66 | files=  28 | data= 11 | cola= 901 | prio=10 | https://ruralytierras.gob.bo/index.php/servidor_publico/lucana-mercado-dayana/
[FULL_38_MDRYT_OAP] t=  76.3s | pag= 67 | files=  28 | data= 12 | cola= 900 | prio=50 | https://ruralytierras.gob.bo/index.php/formulario-de-denuncias/
[FULL_38_MDRYT_OAP] t=  76.6s | pag= 68 | files=  28 | data= 12 | cola= 899 | prio=50 | https://ruralytierras.gob.bo/index.php/servicio/financiamiento-y-apoyo-a-la-produccion-2/
[FULL_38_MDRYT_OAP] t=  77.1s | pag= 69 | files=  28 | data= 12 | cola= 898 | prio=50 | https://ruralytierras.gob.bo/index.php/servicio/financiamiento-y-apoyo-a-la-produccion/
[FULL_38_MDRYT_OAP] t=  77.5s | pag= 70 | files=  28 | data= 12 | cola= 897 | prio=50 | https://ruralytierras.gob.bo/index.php/servicio/gestion-y-acceso-a-la-tierra/
[FULL_38_MDRYT_OAP] t=  77.9s | pag= 71 | files=  28 | data= 12 | cola= 896 | prio=50 | https://ruralytierras.gob.bo/index.php/nota_prensa/17625/
[FULL_38_MDRYT_OAP] t=  78.4s | pag= 72 | files=  28 | data= 12 | cola= 895 | prio=50 | https://ruralytierras.gob.bo/index.php/nota_prensa/17624/
[FULL_38_MDRYT_OAP] t=  78.9s | pag= 73 | files=  28 | data= 12 | cola= 894 | prio=50 | https://ruralytierras.gob.bo/index.php/nota_prensa/17626/
[FULL_38_MDRYT_OAP] t=  79.2s | pag= 74 | files=  28 | data= 12 | cola= 893 | prio=50 | https://ruralytierras.gob.bo/index.php/nota_prensa/en-tarija-acuerdan-concluir-este-ano-el-saneamiento-en-carapari/
[FULL_38_MDRYT_OAP] t=  79.6s | pag= 75 | files=  28 | data= 12 | cola= 892 | prio=50 | https://ruralytierras.gob.bo/index.php/comunicados-de-prensa/page/2/
[FULL_38_MDRYT_OAP] t=  80.2s | pag= 76 | files=  28 | data= 12 | cola= 892 | prio=50 | https://ruralytierras.gob.bo/index.php/normativa-externa/page/2/
[FULL_38_MDRYT_OAP] t=  80.6s | pag= 77 | files=  38 | data= 12 | cola= 892 | prio=50 | https://ruralytierras.gob.bo/index.php/normativa-externa/page/3/
[FULL_38_MDRYT_OAP] t=  81.2s | pag= 78 | files=  42 | data= 12 | cola= 891 | prio=50 | https://ruralytierras.gob.bo/index.php/nomina-de-servidores-publicos/page/2/
[FULL_38_MDRYT_OAP] t=  81.6s | pag= 79 | files=  42 | data= 12 | cola= 892 | prio=50 | https://ruralytierras.gob.bo/index.php/nomina-de-servidores-publicos/page/3/
[FULL_38_MDRYT_OAP] t=  82.0s | pag= 80 | files=  42 | data= 12 | cola= 892 | prio=50 | https://ruralytierras.gob.bo/index.php/nomina-de-servidores-publicos/page/55/
