================================================================================
CRAWLER V2
================================================================================
Fuente: FINRURAL Bolivia
URL configurada: https://www.finrural.org.bo/
Timeout HTTP: 12 s
Pausa HTTP:   aleatoria 0.15s - 0.35s


Resoluci�n de fuente:
  Original: https://www.finrural.org.bo/
  Utilizada: https://www.finrural.org.bo/
  Fallback: no
  Intentos: 1
    - usable         | HTTP=200 | https://www.finrural.org.bo/

URL de trabajo: https://www.finrural.org.bo/
Seeds: 2
M�x p�ginas: 250
M�x archivos: 30000
M�x profundidad: 8
Sitemaps: activo
M�x URLs sitemap: 5000

[RETRY_08_FINRURAL_INDICADORES] SITEMAP | docs=0 | urls=0 | en_cola=0 | errores=2
[RETRY_08_FINRURAL_INDICADORES] t=   8.3s | pag=  0 | files=   0 | data=  0 | cola=   1 | prio= 0 | https://www.finrural.org.bo/
[RETRY_08_FINRURAL_INDICADORES] t=  41.7s | pag=  2 | files= 126 | data=  1 | cola= 122 | prio=10 | https://www.finrural.org.bo/archivos/info_financiera/2024/financiera_08_2024-pdf.sha
[RETRY_08_FINRURAL_INDICADORES] t=  43.3s | pag=  2 | files= 126 | data=  1 | cola= 121 | prio=10 | https://www.finrural.org.bo/archivos/info_financiera/2024/financiera_09_2024-pdf.sha
[RETRY_08_FINRURAL_INDICADORES] t=  44.6s | pag=  2 | files= 126 | data=  1 | cola= 120 | prio=10 | https://www.finrural.org.bo/archivos/info_financiera/2024/financiera_10_2024-pdf.sha
[RETRY_08_FINRURAL_INDICADORES] t=  45.8s | pag=  2 | files= 126 | data=  1 | cola= 119 | prio=10 | https://www.finrural.org.bo/archivos/info_financiera/2024/financiera_11_2024-pdf.sha
[RETRY_08_FINRURAL_INDICADORES] t=  47.2s | pag=  2 | files= 126 | data=  1 | cola= 118 | prio=10 | https://www.finrural.org.bo/archivos/info_financiera/2024/financiera_12_2024-pdf.sha
[RETRY_08_FINRURAL_INDICADORES] t=  48.3s | pag=  2 | files= 126 | data=  1 | cola= 117 | prio=10 | https://www.finrural.org.bo/archivos/info_financiera/2023/financiera_01_2023-pdf.sha
[RETRY_08_FINRURAL_INDICADORES] t=  49.6s | pag=  2 | files= 126 | data=  1 | cola= 116 | prio=10 | https://www.finrural.org.bo/archivos/info_financiera/2023/financiera_02_2023-pdf.sha
[RETRY_08_FINRURAL_INDICADORES] t=  50.8s | pag=  2 | files= 126 | data=  1 | cola= 115 | prio=10 | https://www.finrural.org.bo/archivos/info_financiera/2023/financiera_03_2023-pdf.sha
[RETRY_08_FINRURAL_INDICADORES] t=  52.1s | pag=  2 | files= 126 | data=  1 | cola= 114 | prio=10 | https://www.finrural.org.bo/archivos/info_financiera/2023/financiera_04_2023-pdf.sha
[RETRY_08_FINRURAL_INDICADORES] t=  53.5s | pag=  2 | files= 126 | data=  1 | cola= 113 | prio=10 | https://www.finrural.org.bo/archivos/info_financiera/2023/financiera_05_2023-pdf.sha
