================================================================================
CRAWLER V2
================================================================================
Fuente: Industria Farmac�utica Sigma
URL configurada: https://www.sigmacorp.com.bo/
Timeout HTTP: 12 s
Pausa HTTP:   aleatoria 0.15s - 0.35s


Resoluci�n de fuente:
  Original: https://www.sigmacorp.com.bo/
  Utilizada: https://www.sigmacorp.com.bo/
  Fallback: no
  Intentos: 1
    - usable         | HTTP=200 | https://www.sigmacorp.com.bo/

URL de trabajo: https://www.sigmacorp.com.bo/
Seeds: 1
M�x p�ginas: 250
M�x archivos: 30000
M�x profundidad: 8
Sitemaps: activo
M�x URLs sitemap: 5000

[RETRY_16_SIGMA] t=  27.7s | pag= 28 | files=   0 | data=  0 | cola=  44 | prio=50 | https://www.sigmacorp.com.bo/bioseguridad/soluciones-hidroalcoholicas/solucion-hidroalcoholica-1-50ml
[RETRY_16_SIGMA] t=  28.1s | pag= 29 | files=   0 | data=  0 | cola=  43 | prio=50 | https://www.sigmacorp.com.bo/bioseguridad/soluciones-hidroalcoholicas/solucion-hidroalcoholica-2-100ml
[RETRY_16_SIGMA] t=  29.0s | pag= 30 | files=   0 | data=  0 | cola=  42 | prio=50 | https://www.sigmacorp.com.bo/bioseguridad/soluciones-hidroalcoholicas/solucion-hidroalcoholica-2-1-l
[RETRY_16_SIGMA] t=  29.7s | pag= 31 | files=   0 | data=  0 | cola=  41 | prio=50 | https://www.sigmacorp.com.bo/bioseguridad/soluciones-hidroalcoholicas/solucion-hidroalcoholica-2-400ml
[RETRY_16_SIGMA] t=  30.5s | pag= 32 | files=   0 | data=  0 | cola=  40 | prio=50 | https://www.sigmacorp.com.bo/bioseguridad/soluciones-hidroalcoholicas/solucion-hidroalcoholica-2-50-ml
[RETRY_16_SIGMA] t=  31.2s | pag= 33 | files=   0 | data=  0 | cola=  39 | prio=50 | https://www.sigmacorp.com.bo/bioseguridad/soluciones-hidroalcoholicas/solucion-hidroalcoholica-2-5-l
[RETRY_16_SIGMA] t=  31.6s | pag= 34 | files=   0 | data=  0 | cola=  38 | prio=50 | https://www.sigmacorp.com.bo/bioseguridad/soluciones-hidroalcoholicas/solucion-hidroalcoholica-4-1-l
[RETRY_16_SIGMA] t=  32.5s | pag= 35 | files=   0 | data=  0 | cola=  37 | prio=50 | https://www.sigmacorp.com.bo/bioseguridad/soluciones-hidroalcoholicas/solucion-hidroalcoholica-4-5-l
[RETRY_16_SIGMA] t=  33.0s | pag= 36 | files=   0 | data=  0 | cola=  36 | prio=50 | https://www.sigmacorp.com.bo/bioseguridad/septi/septi-clorex-1
[RETRY_16_SIGMA] t=  33.5s | pag= 37 | files=   0 | data=  0 | cola=  36 | prio=50 | https://www.sigmacorp.com.bo/bioseguridad/septi/septi-clorex-1-l
[RETRY_16_SIGMA] t=  34.3s | pag= 38 | files=   0 | data=  0 | cola=  35 | prio=50 | https://www.sigmacorp.com.bo/bioseguridad/septi/septi-clorex-5-l
[RETRY_16_SIGMA] t=  34.7s | pag= 39 | files=   0 | data=  0 | cola=  34 | prio=50 | https://www.sigmacorp.com.bo/bioseguridad/clorex/buclorex
[RETRY_16_SIGMA] t=  35.5s | pag= 40 | files=   0 | data=  0 | cola=  34 | prio=50 | https://www.sigmacorp.com.bo/bioseguridad/clorex/clorex-2-solucion-hidroalcoholica
[RETRY_16_SIGMA] t=  36.2s | pag= 41 | files=   0 | data=  0 | cola=  33 | prio=50 | https://www.sigmacorp.com.bo/bioseguridad/clorex/clorex-2-solucion-jabonosa
[RETRY_16_SIGMA] t=  36.7s | pag= 42 | files=   0 | data=  0 | cola=  32 | prio=50 | https://www.sigmacorp.com.bo/bioseguridad/clorex/clorex-4-solucion-hidroalcoholica
[RETRY_16_SIGMA] t=  37.4s | pag= 43 | files=   0 | data=  0 | cola=  31 | prio=50 | https://www.sigmacorp.com.bo/bioseguridad/clorex/clorex-4-solucion-jabonosa
[RETRY_16_SIGMA] t=  37.9s | pag= 44 | files=   0 | data=  0 | cola=  30 | prio=50 | https://www.sigmacorp.com.bo/bioseguridad/clorex/clorex-comprimido
[RETRY_16_SIGMA] t=  38.8s | pag= 45 | files=   0 | data=  0 | cola=  29 | prio=50 | https://www.sigmacorp.com.bo/bioseguridad/clorex/clorex-gel
[RETRY_16_SIGMA] t=  39.3s | pag= 46 | files=   0 | data=  0 | cola=  28 | prio=50 | https://www.sigmacorp.com.bo/bioseguridad/clorex/enjuague-bucal
[RETRY_16_SIGMA] t=  40.2s | pag= 47 | files=   0 | data=  0 | cola=  27 | prio=50 | https://www.sigmacorp.com.bo/pharmaceutics-products/analgesicos-antiinflamatorios
[RETRY_16_SIGMA] t=  40.7s | pag= 48 | files=   0 | data=  0 | cola=  34 | prio=50 | https://www.sigmacorp.com.bo/pharmaceutics-products/antialergicos
[RETRY_16_SIGMA] t=  41.1s | pag= 49 | files=   0 | data=  0 | cola=  35 | prio=50 | https://www.sigmacorp.com.bo/pharmaceutics-products/antiinfecciones
[RETRY_16_SIGMA] t=  42.0s | pag= 50 | files=   0 | data=  0 | cola=  37 | prio=50 | https://www.sigmacorp.com.bo/pharmaceutics-products/antivirales
[RETRY_16_SIGMA] t=  42.4s | pag= 51 | files=   0 | data=  0 | cola=  37 | prio=50 | https://www.sigmacorp.com.bo/pharmaceutics-products/cardiologos
[RETRY_16_SIGMA] t=  43.3s | pag= 52 | files=   0 | data=  0 | cola=  38 | prio=50 | https://www.sigmacorp.com.bo/pharmaceutics-products/dermatologicos
[RETRY_16_SIGMA] t=  43.7s | pag= 53 | files=   0 | data=  0 | cola=  39 | prio=50 | https://www.sigmacorp.com.bo/pharmaceutics-products/gastrointestinales
[RETRY_16_SIGMA] t=  44.7s | pag= 54 | files=   0 | data=  0 | cola=  44 | prio=50 | https://www.sigmacorp.com.bo/pharmaceutics-products/ginecologicos
[RETRY_16_SIGMA] t=  45.0s | pag= 55 | files=   0 | data=  0 | cola=  46 | prio=50 | https://www.sigmacorp.com.bo/pharmaceutics-products/neurologicos
[RETRY_16_SIGMA] t=  46.0s | pag= 56 | files=   0 | data=  0 | cola=  46 | prio=50 | https://www.sigmacorp.com.bo/pharmaceutics-products/odontologia
[RETRY_16_SIGMA] t=  46.4s | pag= 57 | files=   0 | data=  0 | cola=  49 | prio=50 | https://www.sigmacorp.com.bo/pharmaceutics-products/oftalmologia
[RETRY_16_SIGMA] t=  47.4s | pag= 58 | files=   0 | data=  0 | cola=  63 | prio=50 | https://www.sigmacorp.com.bo/pharmaceutics-products/urologia
[RETRY_16_SIGMA] t=  47.7s | pag= 59 | files=   0 | data=  0 | cola=  65 | prio=50 | https://www.sigmacorp.com.bo/rse/donaciones-a-brigadas-de-rastrillaje-en-cochabamba
[RETRY_16_SIGMA] t=  48.5s | pag= 60 | files=   0 | data=  0 | cola=  65 | prio=50 | https://www.sigmacorp.com.bo/rse/donaciones-a-la-policia-nacional
[RETRY_16_SIGMA] t=  48.9s | pag= 61 | files=   0 | data=  0 | cola=  64 | prio=50 | https://admin.sigmacorp.com.bo/admin
[RETRY_16_SIGMA] t=  49.3s | pag= 62 | files=   0 | data=  0 | cola=  63 | prio=50 | https://www.sigmacorp.com.bo/bioseguridad/
[RETRY_16_SIGMA] t=  50.3s | pag= 62 | files=   0 | data=  0 | cola=  62 | prio=50 | https://www.sigmacorp.com.bo/bioseguridad/soluciones-jabonosas
[RETRY_16_SIGMA] t=  51.5s | pag= 62 | files=   0 | data=  0 | cola=  61 | prio=50 | https://www.sigmacorp.com.bo/bioseguridad/soluciones-hidroalcoholicas
[RETRY_16_SIGMA] t=  52.9s | pag= 62 | files=   0 | data=  0 | cola=  60 | prio=50 | https://www.sigmacorp.com.bo/bioseguridad/septi
[RETRY_16_SIGMA] t=  54.1s | pag= 62 | files=   0 | data=  0 | cola=  59 | prio=50 | https://www.sigmacorp.com.bo/bioseguridad/clorex
[RETRY_16_SIGMA] t=  55.2s | pag= 62 | files=   0 | data=  0 | cola=  58 | prio=50 | https://www.sigmacorp.com.bo/pharmaceutics-products/analgesicos-antiinflamatorios/anginova
[RETRY_16_SIGMA] t=  57.3s | pag= 63 | files=   0 | data=  0 | cola=  67 | prio=50 | https://www.sigmacorp.com.bo/pharmaceutics-products/analgesicos-antiinflamatorios/betamex
[RETRY_16_SIGMA] t=  58.0s | pag= 64 | files=   0 | data=  0 | cola=  66 | prio=50 | https://www.sigmacorp.com.bo/pharmaceutics-products/analgesicos-antiinflamatorios/dexametasona-sigma
[RETRY_16_SIGMA] t=  58.7s | pag= 65 | files=   0 | data=  0 | cola=  65 | prio=50 | https://www.sigmacorp.com.bo/pharmaceutics-products/analgesicos-antiinflamatorios/diclogel
[RETRY_16_SIGMA] t=  59.1s | pag= 66 | files=   0 | data=  0 | cola=  64 | prio=50 | https://www.sigmacorp.com.bo/pharmaceutics-products/analgesicos-antiinflamatorios/pirofen
[RETRY_16_SIGMA] t=  59.8s | pag= 67 | files=   0 | data=  0 | cola=  63 | prio=50 | https://www.sigmacorp.com.bo/pharmaceutics-products/analgesicos-antiinflamatorios/frixo-fort
[RETRY_16_SIGMA] t=  60.6s | pag= 68 | files=   0 | data=  0 | cola=  62 | prio=50 | https://www.sigmacorp.com.bo/pharmaceutics-products/analgesicos-antiinflamatorios/sigma-brom-100
[RETRY_16_SIGMA] t=  61.3s | pag= 69 | files=   0 | data=  0 | cola=  61 | prio=50 | https://www.sigmacorp.com.bo/pharmaceutics-products/analgesicos-antiinflamatorios/trabit
[RETRY_16_SIGMA] t=  62.4s | pag= 70 | files=   0 | data=  0 | cola=  60 | prio=50 | https://www.sigmacorp.com.bo/pharmaceutics-products/antialergicos/alergito-gotas
[RETRY_16_SIGMA] t=  62.7s | pag= 71 | files=   0 | data=  0 | cola=  62 | prio=50 | https://www.sigmacorp.com.bo/pharmaceutics-products/antialergicos/sinalerg
[RETRY_16_SIGMA] t=  63.4s | pag= 72 | files=   0 | data=  0 | cola=  61 | prio=50 | https://www.sigmacorp.com.bo/pharmaceutics-products/antiinfecciones/positrin
[RETRY_16_SIGMA] t=  64.3s | pag= 73 | files=   0 | data=  0 | cola=  64 | prio=50 | https://www.sigmacorp.com.bo/pharmaceutics-products/antiinfecciones/taxonid
[RETRY_16_SIGMA] t=  64.8s | pag= 74 | files=   0 | data=  0 | cola=  63 | prio=50 | https://www.sigmacorp.com.bo/pharmaceutics-products/antiinfecciones/hostess-suspension
[RETRY_16_SIGMA] t=  65.7s | pag= 75 | files=   0 | data=  0 | cola=  62 | prio=50 | https://www.sigmacorp.com.bo/pharmaceutics-products/antivirales/sigmavir
[RETRY_16_SIGMA] t=  66.1s | pag= 76 | files=   0 | data=  0 | cola=  63 | prio=50 | https://www.sigmacorp.com.bo/pharmaceutics-products/cardiologos/digoxina-sigma
[RETRY_16_SIGMA] t=  66.9s | pag= 77 | files=   0 | data=  0 | cola=  65 | prio=50 | https://www.sigmacorp.com.bo/pharmaceutics-products/cardiologos/sigmaspirin
[RETRY_16_SIGMA] t=  67.3s | pag= 78 | files=   0 | data=  0 | cola=  64 | prio=50 | https://www.sigmacorp.com.bo/pharmaceutics-products/dermatologicos/dermatotal-crema
[RETRY_16_SIGMA] t=  68.3s | pag= 79 | files=   0 | data=  0 | cola=  66 | prio=50 | https://www.sigmacorp.com.bo/pharmaceutics-products/dermatologicos/biafine-emulsion
[RETRY_16_SIGMA] t=  69.0s | pag= 80 | files=   0 | data=  0 | cola=  65 | prio=50 | https://www.sigmacorp.com.bo/pharmaceutics-products/gastrointestinales/acydone-gel
[RETRY_16_SIGMA] t=  69.5s | pag= 81 | files=   0 | data=  0 | cola=  71 | prio=50 | https://www.sigmacorp.com.bo/pharmaceutics-products/gastrointestinales/adecuan
[RETRY_16_SIGMA] t=  70.3s | pag= 82 | files=   0 | data=  0 | cola=  70 | prio=50 | https://www.sigmacorp.com.bo/pharmaceutics-products/gastrointestinales/flatulen-gotas
[RETRY_16_SIGMA] t=  71.1s | pag= 83 | files=   0 | data=  0 | cola=  69 | prio=50 | https://www.sigmacorp.com.bo/pharmaceutics-products/gastrointestinales/flatulen-100
[RETRY_16_SIGMA] t=  71.6s | pag= 84 | files=   0 | data=  0 | cola=  68 | prio=50 | https://www.sigmacorp.com.bo/pharmaceutics-products/gastrointestinales/digesflat-plus
[RETRY_16_SIGMA] t=  72.1s | pag= 85 | files=   0 | data=  0 | cola=  67 | prio=50 | https://www.sigmacorp.com.bo/pharmaceutics-products/gastrointestinales/bacilor
[RETRY_16_SIGMA] t=  73.1s | pag= 86 | files=   0 | data=  0 | cola=  66 | prio=50 | https://www.sigmacorp.com.bo/pharmaceutics-products/ginecologicos/florgynal
[RETRY_16_SIGMA] t=  73.5s | pag= 87 | files=   0 | data=  0 | cola=  69 | prio=50 | https://www.sigmacorp.com.bo/pharmaceutics-products/ginecologicos/gynophilus
[RETRY_16_SIGMA] t=  74.5s | pag= 88 | files=   0 | data=  0 | cola=  68 | prio=50 | https://www.sigmacorp.com.bo/pharmaceutics-products/ginecologicos/saforelle
[RETRY_16_SIGMA] t=  74.9s | pag= 89 | files=   0 | data=  0 | cola=  67 | prio=50 | https://www.sigmacorp.com.bo/pharmaceutics-products/neurologicos/noopiram
[RETRY_16_SIGMA] t=  75.7s | pag= 90 | files=   0 | data=  0 | cola=  68 | prio=50 | https://www.sigmacorp.com.bo/pharmaceutics-products/odontologia/clorex-2
[RETRY_16_SIGMA] t=  76.1s | pag= 91 | files=   0 | data=  0 | cola=  72 | prio=50 | https://www.sigmacorp.com.bo/pharmaceutics-products/odontologia/clorex-gel
[RETRY_16_SIGMA] t=  76.8s | pag= 92 | files=   0 | data=  0 | cola=  71 | prio=50 | https://www.sigmacorp.com.bo/pharmaceutics-products/odontologia/clorex-5mg
[RETRY_16_SIGMA] t=  77.2s | pag= 93 | files=   0 | data=  0 | cola=  70 | prio=50 | https://www.sigmacorp.com.bo/pharmaceutics-products/odontologia/clorex-enjuague-bucal
[RETRY_16_SIGMA] t=  77.9s | pag= 94 | files=   0 | data=  0 | cola=  69 | prio=50 | https://www.sigmacorp.com.bo/pharmaceutics-products/oftalmologia/bacticor
[RETRY_16_SIGMA] t=  78.6s | pag= 95 | files=   0 | data=  0 | cola=  84 | prio=50 | https://www.sigmacorp.com.bo/pharmaceutics-products/oftalmologia/lubricol
[RETRY_16_SIGMA] t=  79.3s | pag= 96 | files=   0 | data=  0 | cola=  83 | prio=50 | https://www.sigmacorp.com.bo/pharmaceutics-products/oftalmologia/nafazol
[RETRY_16_SIGMA] t=  80.1s | pag= 97 | files=   0 | data=  0 | cola=  82 | prio=50 | https://www.sigmacorp.com.bo/pharmaceutics-products/oftalmologia/biocortil
[RETRY_16_SIGMA] t=  80.8s | pag= 98 | files=   0 | data=  0 | cola=  81 | prio=50 | https://www.sigmacorp.com.bo/pharmaceutics-products/oftalmologia/ciprocol
[RETRY_16_SIGMA] t=  81.5s | pag= 99 | files=   0 | data=  0 | cola=  80 | prio=50 | https://www.sigmacorp.com.bo/pharmaceutics-products/oftalmologia/cloracol
[RETRY_16_SIGMA] t=  82.4s | pag=100 | files=   0 | data=  0 | cola=  79 | prio=50 | https://www.sigmacorp.com.bo/pharmaceutics-products/oftalmologia/cloracol-compuesto
[RETRY_16_SIGMA] t=  83.1s | pag=101 | files=   0 | data=  0 | cola=  78 | prio=50 | https://www.sigmacorp.com.bo/pharmaceutics-products/oftalmologia/gentamicol
[RETRY_16_SIGMA] t=  83.8s | pag=102 | files=   0 | data=  0 | cola=  77 | prio=50 | https://www.sigmacorp.com.bo/pharmaceutics-products/oftalmologia/gentamicol-compuesto
[RETRY_16_SIGMA] t=  84.5s | pag=103 | files=   0 | data=  0 | cola=  76 | prio=50 | https://www.sigmacorp.com.bo/pharmaceutics-products/oftalmologia/glaucol-t
[RETRY_16_SIGMA] t=  85.2s | pag=104 | files=   0 | data=  0 | cola=  75 | prio=50 | https://www.sigmacorp.com.bo/pharmaceutics-products/oftalmologia/neobet
[RETRY_16_SIGMA] t=  85.9s | pag=105 | files=   0 | data=  0 | cola=  74 | prio=50 | https://www.sigmacorp.com.bo/pharmaceutics-products/oftalmologia/sigmaprednol
[RETRY_16_SIGMA] t=  86.9s | pag=106 | files=   0 | data=  0 | cola=  73 | prio=50 | https://www.sigmacorp.com.bo/pharmaceutics-products/oftalmologia/tobracol
[RETRY_16_SIGMA] t=  87.6s | pag=107 | files=   0 | data=  0 | cola=  72 | prio=50 | https://www.sigmacorp.com.bo/pharmaceutics-products/oftalmologia/tobracol-compuesto
[RETRY_16_SIGMA] t=  88.4s | pag=108 | files=   0 | data=  0 | cola=  71 | prio=50 | https://www.sigmacorp.com.bo/pharmaceutics-products/oftalmologia/vorizol-vist
[RETRY_16_SIGMA] t=  89.1s | pag=109 | files=   0 | data=  0 | cola=  70 | prio=50 | https://www.sigmacorp.com.bo/pharmaceutics-products/urologia/flow-0-4
[RETRY_16_SIGMA] t=  89.5s | pag=110 | files=   0 | data=  0 | cola=  73 | prio=50 | https://www.sigmacorp.com.bo/pharmaceutics-products/urologia/ribacil
[RETRY_16_SIGMA] t=  90.2s | pag=111 | files=   0 | data=  0 | cola=  72 | prio=50 | https://www.sigmacorp.com.bo/pharmaceutics-products/urologia/uvamin-retard
[RETRY_16_SIGMA] t=  91.9s | pag=112 | files=   0 | data=  0 | cola=  71 | prio=50 | https://www.sigmacorp.com.bo/rse/
[RETRY_16_SIGMA] t=  92.4s | pag=112 | files=   0 | data=  0 | cola=  70 | prio=50 | https://www.sigmacorp.com.bo/pharmaceutics-products/
[RETRY_16_SIGMA] t=  93.8s | pag=112 | files=   0 | data=  0 | cola=  69 | prio=50 | https://www.sigmacorp.com.bo/pharmaceutics-products/analgesicos-antiinflamatorios/analgesicos-antiinflamatorios/anginova
[RETRY_16_SIGMA] t=  95.0s | pag=112 | files=   0 | data=  0 | cola=  68 | prio=50 | https://www.sigmacorp.com.bo/pharmaceutics-products/analgesicos-antiinflamatorios/analgesicos-antiinflamatorios
[RETRY_16_SIGMA] t=  96.4s | pag=112 | files=   0 | data=  0 | cola=  67 | prio=50 | https://www.sigmacorp.com.bo/pharmaceutics-products/analgesicos-antiinflamatorios/analgesicos-antiinflamatorios/betamex
[RETRY_16_SIGMA] t=  97.5s | pag=112 | files=   0 | data=  0 | cola=  66 | prio=50 | https://www.sigmacorp.com.bo/pharmaceutics-products/analgesicos-antiinflamatorios/analgesicos-antiinflamatorios/dexametasona-sigma
[RETRY_16_SIGMA] t=  98.9s | pag=112 | files=   0 | data=  0 | cola=  65 | prio=50 | https://www.sigmacorp.com.bo/pharmaceutics-products/analgesicos-antiinflamatorios/analgesicos-antiinflamatorios/diclogel
[RETRY_16_SIGMA] t= 100.1s | pag=112 | files=   0 | data=  0 | cola=  64 | prio=50 | https://www.sigmacorp.com.bo/pharmaceutics-products/analgesicos-antiinflamatorios/analgesicos-antiinflamatorios/pirofen
