================================================================================
CRAWLER V2
================================================================================
Fuente: Danmarks Statistik
URL configurada: https://www.dst.dk/en/Statistik/hjaelp-til-statistikbanken/api
Timeout HTTP: 12 s
Pausa HTTP:   aleatoria 0.15s - 0.35s


Resoluci�n de fuente:
  Original: https://www.dst.dk/en/Statistik/hjaelp-til-statistikbanken/api
  Utilizada: https://www.dst.dk/en/Statistik/hjaelp-til-statistikbanken/api
  Fallback: no
  Intentos: 1
    - usable         | HTTP=200 | https://www.dst.dk/en/Statistik/hjaelp-til-statistikbanken/api

URL de trabajo: https://www.dst.dk/en/Statistik/hjaelp-til-statistikbanken/api
Seeds: 2
M�x p�ginas: 250
M�x archivos: 30000
M�x profundidad: 8
Sitemaps: activo
M�x URLs sitemap: 5000

[RETRY_17_STATISTICS_DENMARK] SITEMAP | docs=0 | urls=0 | en_cola=0 | errores=0
[RETRY_17_STATISTICS_DENMARK] t=  27.3s | pag= 23 | files=   4 | data=  5 | cola= 217 | prio=10 | https://www.dst.dk/ext/4772913386986/0/intconsult/Annual-Report-2025-print--pdf
[RETRY_17_STATISTICS_DENMARK] t=  29.3s | pag= 23 | files=   5 | data=  5 | cola= 216 | prio=10 | https://www.dst.dk/ext/242777494384/0/intconsult/Annual-Report-2024-spread-for-web--pdf
[RETRY_17_STATISTICS_DENMARK] t=  31.2s | pag= 23 | files=   6 | data=  5 | cola= 215 | prio=10 | https://www.dst.dk/ext/455497494383/0/intconsult/Annual-Report-2024-print--pdf
[RETRY_17_STATISTICS_DENMARK] t=  33.3s | pag= 23 | files=   7 | data=  5 | cola= 214 | prio=10 | https://www.dst.dk/ext/765021501730/0/intconsult/Annual-Report-2023-web--pdf
[RETRY_17_STATISTICS_DENMARK] t=  35.3s | pag= 23 | files=   8 | data=  5 | cola= 213 | prio=10 | https://www.dst.dk/ext/539181501731/0/intconsult/Annual-Report-2023-print--pdf
[RETRY_17_STATISTICS_DENMARK] t=  37.3s | pag= 23 | files=   9 | data=  5 | cola= 212 | prio=10 | https://www.dst.dk/ext/87923110165/0/intconsult/Annual-Report-2022-web--pdf
[RETRY_17_STATISTICS_DENMARK] t=  39.3s | pag= 23 | files=  10 | data=  5 | cola= 211 | prio=10 | https://www.dst.dk/ext/83232110166/0/intconsult/Annual-Report-2022-print--pdf
[RETRY_17_STATISTICS_DENMARK] t=  41.3s | pag= 23 | files=  11 | data=  5 | cola= 210 | prio=10 | https://www.dst.dk/ext/76499104684/0/intconsult/Annual-Report-2021-web--pdf
[RETRY_17_STATISTICS_DENMARK] t=  43.3s | pag= 23 | files=  12 | data=  5 | cola= 209 | prio=10 | https://www.dst.dk/ext/96443104369/0/intconsult/Annual-Report-2021-print--pdf
[RETRY_17_STATISTICS_DENMARK] t=  45.3s | pag= 23 | files=  13 | data=  5 | cola= 208 | prio=10 | https://www.dst.dk/ext/2367587291/0/intconsult/Annual-Report-2020-print--pdf
