================================================================================
CRAWLER V2
================================================================================
Fuente: Instituto Boliviano del Cemento y el Hormig�n
URL configurada: https://www.ibch.com/
Timeout HTTP: 12 s
Pausa HTTP:   aleatoria 0.15s - 0.35s


Resoluci�n de fuente:
  Original: https://www.ibch.com/
  Utilizada: https://www.ibch.com/
  Fallback: no
  Intentos: 1
    - usable         | HTTP=200 | https://www.ibch.com/

URL de trabajo: https://www.ibch.com/
Seeds: 2
M�x p�ginas: 250
M�x archivos: 30000
M�x profundidad: 8
Sitemaps: activo
M�x URLs sitemap: 5000

[RETRY_11_IBCH] t=  67.0s | pag= 34 | files=  10 | data=  0 | cola= 102 | prio=25 | https://www.ibch.com/producto/curso-diseno-de-pavimentos-rigidos-y-flexibles/
[RETRY_11_IBCH] t=  68.1s | pag= 35 | files=  10 | data=  0 | cola= 104 | prio=25 | https://www.ibch.com/producto/curso-diseno-de-sobrecarpetas-recapados-aashto-93/
[RETRY_11_IBCH] t=  69.3s | pag= 36 | files=  10 | data=  0 | cola= 106 | prio=25 | https://www.ibch.com/producto/software-de-diseno-de-pavimentos-dipav-3-0/
[RETRY_11_IBCH] t=  70.4s | pag= 37 | files=  10 | data=  0 | cola= 105 | prio=25 | https://www.ibch.com/producto/diseno-y-construccion-de-bases-de-suelo-cemento/
[RETRY_11_IBCH] t=  71.5s | pag= 38 | files=  10 | data=  0 | cola= 107 | prio=25 | https://www.ibch.com/producto/pavimentos-de-adoquines-de-hormigon/
[RETRY_11_IBCH] t=  72.6s | pag= 39 | files=  10 | data=  0 | cola= 109 | prio=25 | https://www.ibch.com/courses/diseno-de-pavimentos-rigidos-y-flexibles/
[RETRY_11_IBCH] t=  73.8s | pag= 40 | files=  10 | data=  0 | cola= 115 | prio=25 | https://www.ibch.com/courses/diseno-de-sobrecarpetas-recapados-aashto-93/
[RETRY_11_IBCH] t=  74.9s | pag= 41 | files=  10 | data=  0 | cola= 119 | prio=25 | https://www.ibch.com/courses/pavimentos-de-adoquines-de-hormigon/
[RETRY_11_IBCH] t=  76.1s | pag= 42 | files=  10 | data=  0 | cola= 121 | prio=25 | https://www.ibch.com/courses/diseno-y-construccion-de-bases-de-suelo-cemento/
[RETRY_11_IBCH] t=  77.2s | pag= 43 | files=  10 | data=  0 | cola= 126 | prio=25 | https://www.ibch.com/a1n1/
[RETRY_11_IBCH] t=  78.3s | pag= 44 | files=  11 | data=  0 | cola= 126 | prio=10 | https://www.ibch.com/category/boletin/
[RETRY_11_IBCH] t=  79.5s | pag= 45 | files=  21 | data=  0 | cola= 127 | prio=10 | https://www.ibch.com/category/boletin/page/2/
[RETRY_11_IBCH] t=  80.6s | pag= 46 | files=  31 | data=  0 | cola= 126 | prio=10 | https://www.ibch.com/category/boletin/page/3/
[RETRY_11_IBCH] t=  81.8s | pag= 47 | files=  33 | data=  0 | cola= 125 | prio=25 | https://www.ibch.com/a1n2/
[RETRY_11_IBCH] t=  82.8s | pag= 48 | files=  33 | data=  0 | cola= 124 | prio=25 | https://www.ibch.com/a1n3/
[RETRY_11_IBCH] t=  83.9s | pag= 49 | files=  33 | data=  0 | cola= 123 | prio=25 | https://www.ibch.com/a2n4/
[RETRY_11_IBCH] t=  85.0s | pag= 50 | files=  33 | data=  0 | cola= 122 | prio=25 | https://www.ibch.com/a3n5/
[RETRY_11_IBCH] t=  86.1s | pag= 51 | files=  33 | data=  0 | cola= 121 | prio=25 | https://www.ibch.com/a4n5/
[RETRY_11_IBCH] t=  87.1s | pag= 52 | files=  33 | data=  0 | cola= 120 | prio=25 | https://www.ibch.com/a5n6/
[RETRY_11_IBCH] t=  88.2s | pag= 53 | files=  33 | data=  0 | cola= 119 | prio=25 | https://www.ibch.com/a6n7/
[RETRY_11_IBCH] t=  89.4s | pag= 54 | files=  33 | data=  0 | cola= 118 | prio=25 | https://www.ibch.com/a8n8/
[RETRY_11_IBCH] t=  90.4s | pag= 55 | files=  33 | data=  0 | cola= 117 | prio=25 | https://www.ibch.com/a9n9/
[RETRY_11_IBCH] t=  91.6s | pag= 56 | files=  33 | data=  0 | cola= 116 | prio=25 | https://www.ibch.com/a10n10/
[RETRY_11_IBCH] t=  92.7s | pag= 57 | files=  33 | data=  0 | cola= 115 | prio=25 | https://www.ibch.com/a11n11/
[RETRY_11_IBCH] t=  93.8s | pag= 58 | files=  33 | data=  0 | cola= 114 | prio=25 | https://www.ibch.com/a12n12/
[RETRY_11_IBCH] t=  94.8s | pag= 59 | files=  33 | data=  0 | cola= 113 | prio=25 | https://www.ibch.com/a13n13/
[RETRY_11_IBCH] t=  96.0s | pag= 60 | files=  33 | data=  0 | cola= 112 | prio=25 | https://www.ibch.com/a14n14/
[RETRY_11_IBCH] t=  97.2s | pag= 61 | files=  33 | data=  0 | cola= 111 | prio=25 | https://www.ibch.com/a15n15/
[RETRY_11_IBCH] t=  98.2s | pag= 62 | files=  33 | data=  0 | cola= 110 | prio=25 | https://www.ibch.com/a16n16/
[RETRY_11_IBCH] t=  99.3s | pag= 63 | files=  33 | data=  0 | cola= 109 | prio=25 | https://www.ibch.com/a17n17/
[RETRY_11_IBCH] t= 100.4s | pag= 64 | files=  33 | data=  0 | cola= 108 | prio=25 | https://www.ibch.com/a18n18/
[RETRY_11_IBCH] t= 101.5s | pag= 65 | files=  33 | data=  0 | cola= 107 | prio=25 | https://www.ibch.com/a20n20/
[RETRY_11_IBCH] t= 102.6s | pag= 66 | files=  33 | data=  0 | cola= 106 | prio=25 | https://www.ibch.com/a21n21/
[RETRY_11_IBCH] t= 103.6s | pag= 67 | files=  33 | data=  0 | cola= 105 | prio=25 | https://www.ibch.com/a22n22/
[RETRY_11_IBCH] t= 104.7s | pag= 68 | files=  33 | data=  0 | cola= 104 | prio=25 | https://www.ibch.com/curso-pavimentos-de-adoquines-de-hormigon/
[RETRY_11_IBCH] t= 105.9s | pag= 69 | files=  33 | data=  0 | cola= 104 | prio=25 | https://www.ibch.com/curso-diseno-y-construccion-de-bases-de-suelo-cemento/
[RETRY_11_IBCH] t= 107.0s | pag= 70 | files=  33 | data=  0 | cola= 104 | prio=25 | https://www.ibch.com/curso-construccion-evaluacion-y-restauracion-de-pavimentos-rigidos/
