================================================================================
CRAWLER V2
================================================================================
Fuente: Federaci�n Internacional de F�tbol Asociaci�n
URL configurada: https://inside.fifa.com/en/official-documents
Timeout HTTP: 12 s
Pausa HTTP:   aleatoria 0.15s - 0.35s


Resoluci�n de fuente:
  Original: https://inside.fifa.com/en/official-documents
  Utilizada: https://inside.fifa.com/en/official-documents
  Fallback: no
  Intentos: 1
    - usable         | HTTP=200 | https://inside.fifa.com/en/official-documents

URL de trabajo: https://inside.fifa.com/en/official-documents
Seeds: 3
M�x p�ginas: 250
M�x archivos: 30000
M�x profundidad: 8
Sitemaps: activo
M�x URLs sitemap: 5000

[RETRY_07_FIFA] t= 131.8s | pag= 34 | files=  12 | data=  0 | cola=5349 | prio=10 | https://publications.fifa.com/en/annual-report-2022/2022-at-a-glance/fifa-club-world-cup-2021/
[RETRY_07_FIFA] t= 133.2s | pag= 35 | files=  12 | data=  0 | cola=5348 | prio=10 | https://publications.fifa.com/en/annual-report-2022/2022-at-a-glance/blue-stars-fifa-youth-cup-2022/
[RETRY_07_FIFA] t= 134.5s | pag= 36 | files=  12 | data=  0 | cola=5347 | prio=10 | https://publications.fifa.com/en/annual-report-2022/2022-at-a-glance/fifa-u-20-womens-world-cup/
[RETRY_07_FIFA] t= 136.3s | pag= 37 | files=  12 | data=  0 | cola=5349 | prio=10 | https://publications.fifa.com/en/annual-report-2022/2022-at-a-glance/fifa-u-17-womens-world-cup-india/
[RETRY_07_FIFA] t= 138.1s | pag= 38 | files=  12 | data=  0 | cola=5348 | prio=10 | https://publications.fifa.com/en/annual-report-2022/2022-at-a-glance/fifa-world-cup-2026-host-city-announcement/
[RETRY_07_FIFA] t= 138.7s | pag= 39 | files=  12 | data=  0 | cola=5347 | prio=10 | https://publications.fifa.com/en/annual-report-2022/2022-at-a-glance/fifa/
[RETRY_07_FIFA] t= 140.7s | pag= 40 | files=  12 | data=  0 | cola=5346 | prio=10 | https://publications.fifa.com/en/annual-report-2022/around-fifa-2022/social-responsibility-and-education/
[RETRY_07_FIFA] t= 142.5s | pag= 41 | files=  12 | data=  0 | cola=5346 | prio=10 | https://publications.fifa.com/en/annual-report-2022/around-fifa-2022/fifa-forward/
[RETRY_07_FIFA] t= 144.3s | pag= 42 | files=  12 | data=  0 | cola=5345 | prio=10 | https://publications.fifa.com/en/annual-report-2022/around-fifa-2022/technical-development-2022/
[RETRY_07_FIFA] t= 145.7s | pag= 43 | files=  12 | data=  0 | cola=5344 | prio=10 | https://publications.fifa.com/en/annual-report-2022/around-fifa-2022/womens-football-2022/
[RETRY_07_FIFA] t= 147.2s | pag= 44 | files=  13 | data=  0 | cola=5343 | prio=10 | https://publications.fifa.com/en/annual-report-2022/around-fifa-2022/professional-football-2022/
[RETRY_07_FIFA] t= 148.9s | pag= 45 | files=  13 | data=  0 | cola=5342 | prio=10 | https://publications.fifa.com/en/annual-report-2022/around-fifa-2022/fifa-legends/
[RETRY_07_FIFA] t= 150.7s | pag= 46 | files=  13 | data=  0 | cola=5341 | prio=10 | https://publications.fifa.com/en/annual-report-2022/around-fifa-2022/corporate-governance-administration/
[RETRY_07_FIFA] t= 152.4s | pag= 47 | files=  13 | data=  0 | cola=5340 | prio=10 | https://publications.fifa.com/en/annual-report-2022/around-fifa-2022/fifa-foundation-2022/
[RETRY_07_FIFA] t= 154.4s | pag= 48 | files=  13 | data=  0 | cola=5347 | prio=10 | https://publications.fifa.com/en/annual-report-2022/around-fifa-2022/fifa-museum-2022/
[RETRY_07_FIFA] t= 156.3s | pag= 49 | files=  13 | data=  0 | cola=5346 | prio=10 | https://publications.fifa.com/en/annual-report-2022/around-fifa-2022/fifa-statistics/
[RETRY_07_FIFA] t= 157.7s | pag= 50 | files=  13 | data=  0 | cola=5345 | prio=10 | https://publications.fifa.com/en/annual-report-2022/tournaments-and-events/fifa-world-cup-quatar-2022/fifa-world-cup-qatar-2022-in-numbers/
[RETRY_07_FIFA] t= 158.2s | pag= 51 | files=  13 | data=  0 | cola=5344 | prio=10 | https://publications.fifa.com/en/annual-report-2022/tournaments-and-events/fifa-world-cup-quatar-2022/fifa-world-cup-qatar-2022-football-unites-the-world/
