================================================================================
CRAWLER V2
================================================================================
Fuente: C�mara de Exportadores de Cochabamba
URL configurada: https://cadexco.bo/
Timeout HTTP: 12 s
Pausa HTTP:   aleatoria 0.15s - 0.35s


Resoluci�n de fuente:
  Original: https://cadexco.bo/
  Utilizada: https://cadexco.bo/
  Fallback: no
  Intentos: 1
    - usable         | HTTP=200 | https://cadexco.bo/

URL de trabajo: https://cadexco.bo/
Seeds: 1
M�x p�ginas: 250
M�x archivos: 30000
M�x profundidad: 8
Sitemaps: activo
M�x URLs sitemap: 5000

[RETRY_02_CADEXCO] SITEMAP | docs=6 | urls=215 | en_cola=214 | errores=0
[RETRY_02_CADEXCO] t=  79.0s | pag= 40 | files=  16 | data=  0 | cola= 228 | prio=25 | https://cadexco.bo/cusum/
[RETRY_02_CADEXCO] t=  80.6s | pag= 41 | files=  16 | data=  0 | cola= 229 | prio=25 | https://cadexco.bo/enem/
[RETRY_02_CADEXCO] t=  86.3s | pag= 42 | files=  16 | data=  0 | cola= 320 | prio=25 | https://cadexco.bo/mapicece/
[RETRY_02_CADEXCO] t=  88.3s | pag= 43 | files=  16 | data=  0 | cola= 323 | prio=25 | https://cadexco.bo/minome/
[RETRY_02_CADEXCO] t=  90.2s | pag= 44 | files=  16 | data=  0 | cola= 337 | prio=25 | https://cadexco.bo/prdeinqude/
[RETRY_02_CADEXCO] t=  92.2s | pag= 45 | files=  16 | data=  0 | cola= 344 | prio=25 | https://cadexco.bo/lifopa/
[RETRY_02_CADEXCO] t=  94.1s | pag= 46 | files=  16 | data=  0 | cola= 349 | prio=25 | https://cadexco.bo/ser/
[RETRY_02_CADEXCO] t=  95.8s | pag= 47 | files=  16 | data=  0 | cola= 350 | prio=25 | https://cadexco.bo/soad/
[RETRY_02_CADEXCO] t=  97.6s | pag= 48 | files=  16 | data=  0 | cola= 353 | prio=25 | https://cadexco.bo/prva/
[RETRY_02_CADEXCO] t=  99.1s | pag= 49 | files=  16 | data=  0 | cola= 352 | prio=25 | https://cadexco.bo/capacitacion-empresarial/
[RETRY_02_CADEXCO] t= 100.7s | pag= 50 | files=  16 | data=  0 | cola= 351 | prio=25 | https://cadexco.bo/directorio-de-negocios/
[RETRY_02_CADEXCO] t= 102.1s | pag= 51 | files=  16 | data=  0 | cola= 350 | prio=25 | https://cadexco.bo/calendar/
[RETRY_02_CADEXCO] t= 103.6s | pag= 52 | files=  16 | data=  0 | cola= 349 | prio=25 | https://cadexco.bo/fsa/
[RETRY_02_CADEXCO] t= 105.2s | pag= 53 | files=  16 | data=  0 | cola= 348 | prio=25 | https://cadexco.bo/asamblea/
[RETRY_02_CADEXCO] t= 106.8s | pag= 54 | files=  16 | data=  0 | cola= 347 | prio=25 | https://cadexco.bo/fbusiness/
[RETRY_02_CADEXCO] t= 108.9s | pag= 55 | files=  16 | data=  0 | cola= 346 | prio=25 | https://cadexco.bo/fbusinessi1/
[RETRY_02_CADEXCO] t= 110.7s | pag= 56 | files=  16 | data=  0 | cola= 346 | prio=25 | https://cadexco.bo/fbusinessin/
[RETRY_02_CADEXCO] t= 112.3s | pag= 57 | files=  16 | data=  0 | cola= 345 | prio=25 | https://cadexco.bo/expoexport1/
[RETRY_02_CADEXCO] t= 113.9s | pag= 58 | files=  16 | data=  0 | cola= 344 | prio=25 | https://cadexco.bo/excontruccion/
[RETRY_02_CADEXCO] t= 115.4s | pag= 59 | files=  16 | data=  0 | cola= 343 | prio=25 | https://cadexco.bo/asamb-21/
[RETRY_02_CADEXCO] t= 117.1s | pag= 60 | files=  16 | data=  0 | cola= 342 | prio=25 | https://cadexco.bo/tpp/
[RETRY_02_CADEXCO] t= 118.5s | pag= 61 | files=  16 | data=  0 | cola= 341 | prio=25 | https://cadexco.bo/form45b/
[RETRY_02_CADEXCO] t= 120.0s | pag= 62 | files=  16 | data=  0 | cola= 340 | prio=25 | https://cadexco.bo/form45a/
[RETRY_02_CADEXCO] t= 121.6s | pag= 63 | files=  16 | data=  0 | cola= 339 | prio=25 | https://cadexco.bo/ruedadenegocios/
[RETRY_02_CADEXCO] t= 123.1s | pag= 64 | files=  16 | data=  0 | cola= 339 | prio=25 | https://cadexco.bo/publicaciones/premiacion-al-merito-exportador-2024/
[RETRY_02_CADEXCO] t= 124.5s | pag= 65 | files=  16 | data=  0 | cola= 338 | prio=25 | https://cadexco.bo/publicaciones/encuentro-nacional-de-exportadores-enex-2025/
[RETRY_02_CADEXCO] t= 126.2s | pag= 66 | files=  16 | data=  0 | cola= 337 | prio=25 | https://cadexco.bo/evento/expoalimenta/
[RETRY_02_CADEXCO] t= 128.1s | pag= 67 | files=  16 | data=  0 | cola= 337 | prio=25 | https://cadexco.bo/evento/expocorma-2/
