fila_excel;fuente;institucion;url;url_utilizada;uso_fallback;crawler_asignado;id_fuente;paginas;archivos;datasets;recursos_json;urls_unicas;duplicados_url;formatos;errores;motivo_parada;duracion_crawler;duracion_total;returncode;resultado;detalle;json_output;log_output
14;ATT;Autoridad de Regulación y Fiscalización de Telecomunicaciones y Transportes;https://www.att.gob.bo;https://www.att.gob.bo/;False;Rolando;att;1393;3431;267;3698;3698;0;"{""DOC"": 9, ""DOCX"": 1, ""JSON"": 5, ""PDF"": 3362, ""RAR"": 4, ""WEB"": 267, ""XLS"": 42, ""XLSX"": 4, ""ZIP"": 4}";76;frontier_exhausted;1196.1;1197.17;0;MAPEADO_CON_ERRORES;Generó JSON, pero hubo errores durante la exploración.;C:\Ultimo Semestre 7\trabajo\DATAX\team crawler\crawler_asfi\Crawler_BCB\crawler_v2\output\full_map\014_att.json;C:\Ultimo Semestre 7\trabajo\DATAX\team crawler\crawler_asfi\Crawler_BCB\crawler_v2\output\full_logs\014_att.log
15;BBV;Bolsa Boliviana de Valores;https://www.bbv.com.bo;https://www.bbv.com.bo/;False;Rolando;bbv;430;4818;19;4837;4837;0;"{""DOC"": 4, ""DOCX"": 9, ""PDF"": 4781, ""WEB"": 19, ""XLS"": 3, ""XLSX"": 21}";14;frontier_exhausted;2070.48;2078.43;0;MAPEADO_CON_ERRORES;Generó JSON, pero hubo errores durante la exploración.;C:\Ultimo Semestre 7\trabajo\DATAX\team crawler\crawler_asfi\Crawler_BCB\crawler_v2\output\full_map\015_bbv.json;C:\Ultimo Semestre 7\trabajo\DATAX\team crawler\crawler_asfi\Crawler_BCB\crawler_v2\output\full_logs\015_bbv.log
16;BCB;Banco Central de Bolivia;https://www.bcb.gob.bo;https://www.bcb.gob.bo/;False;Alex;bcb;0;0;0;0;0;0;{};0;;0.0;7200.02;1;TIMEOUT;La fuente excedió el tiempo máximo.;;C:\Ultimo Semestre 7\trabajo\DATAX\team crawler\crawler_asfi\Crawler_BCB\crawler_v2\output\full_logs\016_bcb.log
17;BM;Banco Mundial;https://www.worldbank.org;https://www.worldbank.org/ext/en/home;True;Alex;full_17_bm;0;0;0;475;475;0;"{""CSV"": 5, ""DOCX"": 1, ""PDF"": 321, ""WEB"": 82, ""XLSX"": 15, ""ZIP"": 51}";0;;0.0;7200.04;1;TIMEOUT;La fuente excedió el tiempo máximo.;C:\Ultimo Semestre 7\trabajo\DATAX\team crawler\crawler_asfi\Crawler_BCB\crawler_v2\output\full_map\017_bm.json;C:\Ultimo Semestre 7\trabajo\DATAX\team crawler\crawler_asfi\Crawler_BCB\crawler_v2\output\full_logs\017_bm.log
18;BOLCEREALES;Bolcereales;https://www.bolsadecereales.com;https://www.bolsadecereales.com;False;Douglas;full_18_bolcereales;0;0;0;0;0;0;{};1;frontier_exhausted;1.59;7.18;0;FUENTE_DENEGADA;La fuente respondió HTTP 403.;C:\Ultimo Semestre 7\trabajo\DATAX\team crawler\crawler_asfi\Crawler_BCB\crawler_v2\output\full_map\018_bolcereales.json;C:\Ultimo Semestre 7\trabajo\DATAX\team crawler\crawler_asfi\Crawler_BCB\crawler_v2\output\full_logs\018_bolcereales.log
19;CADEXCO;Cámara de Exportadores de Cochabamba;https://www.cadexco.org.bo;https://www.cadexco.org.bo;False;Brami;full_19_cadexco;0;0;0;0;0;0;{};1;frontier_exhausted;0.63;2.84;0;SIN_RECURSOS;Terminó sin recursos catalogados.;C:\Ultimo Semestre 7\trabajo\DATAX\team crawler\crawler_asfi\Crawler_BCB\crawler_v2\output\full_map\019_cadexco.json;C:\Ultimo Semestre 7\trabajo\DATAX\team crawler\crawler_asfi\Crawler_BCB\crawler_v2\output\full_logs\019_cadexco.log
20;CEPAL;Comisión Económica para América Latina y el Caribe;https://www.cepal.org;https://www.cepal.org/;True;Alex;full_20_cepal;0;0;0;0;0;0;{};0;;0.0;7200.01;1;TIMEOUT;La fuente excedió el tiempo máximo.;;C:\Ultimo Semestre 7\trabajo\DATAX\team crawler\crawler_asfi\Crawler_BCB\crawler_v2\output\full_logs\020_cepal.log
21;CEPROBOL;Centro Promoción Bolivia;https://www.ceprobol.gob.bo;https://www.ceprobol.gob.bo;False;Douglas;full_21_ceprobol;0;0;0;0;0;0;{};1;frontier_exhausted;0.89;3.43;0;SIN_RECURSOS;Terminó sin recursos catalogados.;C:\Ultimo Semestre 7\trabajo\DATAX\team crawler\crawler_asfi\Crawler_BCB\crawler_v2\output\full_map\021_ceprobol.json;C:\Ultimo Semestre 7\trabajo\DATAX\team crawler\crawler_asfi\Crawler_BCB\crawler_v2\output\full_logs\021_ceprobol.log
22;CNDC;Comisión Nacional de Defensa de la Competencia;https://www.cndc.bo;https://www.cndc.bo/;True;Brami;full_22_cndc;27;102;9;111;111;0;"{""PDF"": 102, ""WEB"": 9}";0;frontier_exhausted;20.63;21.53;0;MAPEADO;La frontera alcanzable quedó agotada sin errores.;C:\Ultimo Semestre 7\trabajo\DATAX\team crawler\crawler_asfi\Crawler_BCB\crawler_v2\output\full_map\022_cndc.json;C:\Ultimo Semestre 7\trabajo\DATAX\team crawler\crawler_asfi\Crawler_BCB\crawler_v2\output\full_logs\022_cndc.log
23;Data.Gov;Portal de Datos Abiertos USA;https://www.data.gov;https://data.gov/;False;Rolando;datagov;0;0;0;0;0;0;{};0;;0.0;7200.02;1;TIMEOUT;La fuente excedió el tiempo máximo.;;C:\Ultimo Semestre 7\trabajo\DATAX\team crawler\crawler_asfi\Crawler_BCB\crawler_v2\output\full_logs\023_data_gov.log
24;DGAC;Dirección General de Aeronáutica Civil;https://www.dgac.gob.bo;https://www.dgac.gob.bo/;True;Brami;full_24_dgac;523;1750;5;1755;1755;0;"{""DOC"": 6, ""DOCX"": 38, ""PDF"": 1685, ""RAR"": 1, ""WEB"": 5, ""XLSX"": 20}";11;frontier_exhausted;1128.4;1130.24;0;MAPEADO_CON_ERRORES;Generó JSON, pero hubo errores durante la exploración.;C:\Ultimo Semestre 7\trabajo\DATAX\team crawler\crawler_asfi\Crawler_BCB\crawler_v2\output\full_map\024_dgac.json;C:\Ultimo Semestre 7\trabajo\DATAX\team crawler\crawler_asfi\Crawler_BCB\crawler_v2\output\full_logs\024_dgac.log
25;FAM;Federación de Asociaciones Municipales de Bolivia;https://www.fam.bo;https://www.fam.bo;False;Brami;full_25_fam;0;0;0;0;0;0;{};1;frontier_exhausted;0.4;3.31;0;SIN_RECURSOS;Terminó sin recursos catalogados.;C:\Ultimo Semestre 7\trabajo\DATAX\team crawler\crawler_asfi\Crawler_BCB\crawler_v2\output\full_map\025_fam.json;C:\Ultimo Semestre 7\trabajo\DATAX\team crawler\crawler_asfi\Crawler_BCB\crawler_v2\output\full_logs\025_fam.log
27;FEGASACRUZ;Federación de Ganaderos de Santa Cruz;https://www.fegasacruz.org.bo;https://www.fegasacruz.org.bo;False;Alex;full_27_fegasacruz;0;0;0;0;0;0;{};1;frontier_exhausted;3.24;6.34;0;SIN_RECURSOS;Terminó sin recursos catalogados.;C:\Ultimo Semestre 7\trabajo\DATAX\team crawler\crawler_asfi\Crawler_BCB\crawler_v2\output\full_map\027_fegasacruz.json;C:\Ultimo Semestre 7\trabajo\DATAX\team crawler\crawler_asfi\Crawler_BCB\crawler_v2\output\full_logs\027_fegasacruz.log
29;FINRURAL/indicadores;Finrural Bolivia;https://www.finrural.bo;https://www.finrural.bo;False;Alex;full_29_finrural_indicadores;0;0;0;0;0;0;{};1;frontier_exhausted;4.12;6.99;0;SIN_RECURSOS;Terminó sin recursos catalogados.;C:\Ultimo Semestre 7\trabajo\DATAX\team crawler\crawler_asfi\Crawler_BCB\crawler_v2\output\full_map\029_finrural_indicadores.json;C:\Ultimo Semestre 7\trabajo\DATAX\team crawler\crawler_asfi\Crawler_BCB\crawler_v2\output\full_logs\029_finrural_indicadores.log
30;FMI;Fondo Monetario Internacional;https://www.imf.org;https://www.imf.org;False;Alex;full_30_fmi;0;0;0;0;0;0;{};1;frontier_exhausted;9.91;15.94;0;FUENTE_DENEGADA;La fuente respondió HTTP 403.;C:\Ultimo Semestre 7\trabajo\DATAX\team crawler\crawler_asfi\Crawler_BCB\crawler_v2\output\full_map\030_fmi.json;C:\Ultimo Semestre 7\trabajo\DATAX\team crawler\crawler_asfi\Crawler_BCB\crawler_v2\output\full_logs\030_fmi.log
31;FUNDEMPRESA;Registro de Comercio de Bolivia;https://www.fundempresa.org.bo;http://www.fundempresa.org.bo/;True;Brami;full_31_fundempresa;1;0;0;0;0;0;{};0;frontier_exhausted;5.66;10.33;0;SIN_RECURSOS;Terminó sin recursos catalogados.;C:\Ultimo Semestre 7\trabajo\DATAX\team crawler\crawler_asfi\Crawler_BCB\crawler_v2\output\full_map\031_fundempresa.json;C:\Ultimo Semestre 7\trabajo\DATAX\team crawler\crawler_asfi\Crawler_BCB\crawler_v2\output\full_logs\031_fundempresa.log
33;IBCH;Instituto Boliviano del Cemento y Hormigón;https://www.ibch.org.bo;https://www.ibch.org.bo;False;Douglas;full_33_ibch;0;0;0;0;0;0;{};1;frontier_exhausted;3.88;6.29;0;SIN_RECURSOS;Terminó sin recursos catalogados.;C:\Ultimo Semestre 7\trabajo\DATAX\team crawler\crawler_asfi\Crawler_BCB\crawler_v2\output\full_map\033_ibch.json;C:\Ultimo Semestre 7\trabajo\DATAX\team crawler\crawler_asfi\Crawler_BCB\crawler_v2\output\full_logs\033_ibch.log
