================================================================================
CRAWLER V2
================================================================================
Fuente: ASFI / FINRURAL
URL configurada: https://www.asfi.gob.bo/
Timeout HTTP: 15 s
Pausa HTTP:   aleatoria 0.30s - 0.90s
Verificación TLS: activa


Resolución de fuente:
  Original: https://www.asfi.gob.bo/
  Utilizada: https://www.asfi.gob.bo/
  Fallback: no
  Intentos: 1
    - usable         | HTTP=200 | https://www.asfi.gob.bo/

URL de trabajo: https://www.asfi.gob.bo/
Seeds: 2
Máx páginas: 5000
Máx archivos: 100000
Máx profundidad: 12
Sitemaps: activo
Máx URLs sitemap: 10000

[ASFI_FINRURAL] t=  46.7s | pag= 27 | files=  48 | data=  2 | cola= 203 | prio=10 | https://www.asfi.gob.bo/node/959
[ASFI_FINRURAL] t=  50.3s | pag= 28 | files=  50 | data=  2 | cola= 202 | prio=10 | https://www.asfi.gob.bo/node/962
[ASFI_FINRURAL] t=  51.2s | pag= 29 | files=  52 | data=  2 | cola= 201 | prio=10 | https://www.asfi.gob.bo/node/965
[ASFI_FINRURAL] t=  51.7s | pag= 30 | files=  54 | data=  2 | cola= 200 | prio=10 | https://www.asfi.gob.bo/node/968
[ASFI_FINRURAL] t=  52.1s | pag= 31 | files=  56 | data=  2 | cola= 199 | prio=10 | https://www.asfi.gob.bo/node/971
[ASFI_FINRURAL] t=  52.8s | pag= 32 | files=  58 | data=  2 | cola= 198 | prio=10 | https://www.asfi.gob.bo/node/974
[ASFI_FINRURAL] t=  53.2s | pag= 33 | files=  60 | data=  2 | cola= 197 | prio=10 | https://www.asfi.gob.bo/node/977
[ASFI_FINRURAL] t=  54.0s | pag= 34 | files=  62 | data=  2 | cola= 196 | prio=10 | https://www.asfi.gob.bo/node/980
[ASFI_FINRURAL] t=  54.5s | pag= 35 | files=  64 | data=  2 | cola= 195 | prio=10 | https://www.asfi.gob.bo/node/983
[ASFI_FINRURAL] t=  55.1s | pag= 36 | files=  66 | data=  2 | cola= 194 | prio=10 | https://www.asfi.gob.bo/node/986
[ASFI_FINRURAL] t=  56.1s | pag= 37 | files=  68 | data=  2 | cola= 193 | prio=10 | https://www.asfi.gob.bo/node/989
[ASFI_FINRURAL] t=  56.4s | pag= 38 | files=  70 | data=  2 | cola= 192 | prio=10 | https://www.asfi.gob.bo/node/992
[ASFI_FINRURAL] t=  57.2s | pag= 39 | files=  72 | data=  2 | cola= 191 | prio=10 | https://www.asfi.gob.bo/la/boletin-trimestral-actualizacion-y-emision-normativa-2026
[ASFI_FINRURAL] t=  58.2s | pag= 40 | files=  74 | data=  2 | cola= 190 | prio=10 | https://www.asfi.gob.bo/pb/puntos-atencion-financiera-eif
[ASFI_FINRURAL] t=  58.9s | pag= 41 | files=  74 | data=  2 | cola= 189 | prio=10 | https://www.asfi.gob.bo/pb/puntos-atencion-financiera-mv
[ASFI_FINRURAL] t=  59.8s | pag= 42 | files=  74 | data=  2 | cola= 188 | prio=10 | https://www.asfi.gob.bo/pb/puntos-atencion-financiera-esfc
[ASFI_FINRURAL] t=  60.4s | pag= 43 | files=  74 | data=  2 | cola= 187 | prio=10 | https://www.asfi.gob.bo/pagina-lista-boletines?page=1
[ASFI_FINRURAL] t=  61.0s | pag= 44 | files=  83 | data=  2 | cola= 187 | prio=10 | https://www.asfi.gob.bo/pagina-lista-boletines?page=2
[ASFI_FINRURAL] t=  61.6s | pag= 45 | files=  91 | data=  2 | cola= 186 | prio=10 | https://www.asfi.gob.bo/pagina-lista-boletines?page=0
[ASFI_FINRURAL] t=  62.2s | pag= 46 | files=  91 | data=  2 | cola= 185 | prio=50 | https://www.asfi.gob.bo/pagina-memoria-institucional
[ASFI_FINRURAL] t=  62.6s | pag= 47 | files= 101 | data=  2 | cola= 187 | prio=40 | https://www.asfi.gob.bo/pagina-memoria-institucional?page=1
[ASFI_FINRURAL] t=  63.3s | pag= 48 | files= 111 | data=  2 | cola= 187 | prio=40 | https://www.asfi.gob.bo/pagina-memoria-institucional?page=2
[ASFI_FINRURAL] t=  64.1s | pag= 49 | files= 121 | data=  2 | cola= 186 | prio=40 | https://www.asfi.gob.bo/pagina-memoria-institucional?page=3
[ASFI_FINRURAL] t=  65.0s | pag= 50 | files= 127 | data=  2 | cola= 185 | prio=40 | https://www.asfi.gob.bo/pagina-memoria-institucional?page=0
[ASFI_FINRURAL] t=  65.8s | pag= 51 | files= 127 | data=  2 | cola= 184 | prio=50 | https://www.asfi.gob.bo/pb/objetivos-institucionales
[ASFI_FINRURAL] t=  66.2s | pag= 52 | files= 127 | data=  2 | cola= 183 | prio=50 | https://www.asfi.gob.bo/pb/informacion-mae
[ASFI_FINRURAL] t=  67.1s | pag= 53 | files= 127 | data=  2 | cola= 182 | prio=50 | https://www.asfi.gob.bo/la/politica-calidad
[ASFI_FINRURAL] t=  67.8s | pag= 54 | files= 127 | data=  2 | cola= 181 | prio=50 | https://www.asfi.gob.bo/pb/plan-estrategico-institucional-pei
[ASFI_FINRURAL] t=  68.6s | pag= 55 | files= 128 | data=  2 | cola= 180 | prio=50 | https://www.asfi.gob.bo/pagina-poa
[ASFI_FINRURAL] t=  69.0s | pag= 56 | files= 131 | data=  2 | cola= 181 | prio=50 | https://www.asfi.gob.bo/la/seguimiento-y-evaluacion-al-poa
[ASFI_FINRURAL] t=  69.9s | pag= 57 | files= 157 | data=  2 | cola= 180 | prio=50 | https://www.asfi.gob.bo/la/mapa-procesos
[ASFI_FINRURAL] t=  70.5s | pag= 58 | files= 158 | data=  2 | cola= 179 | prio=50 | https://www.asfi.gob.bo/pb/plan-implementacion-software-libre-y-estandares-abiertos-pislea
[ASFI_FINRURAL] t=  71.0s | pag= 59 | files= 159 | data=  2 | cola= 178 | prio=50 | https://www.asfi.gob.bo/presupuesto-institucional
[ASFI_FINRURAL] t=  71.9s | pag= 60 | files= 161 | data=  2 | cola= 177 | prio=50 | https://www.asfi.gob.bo/pb/ejecucion-presupuestaria
[ASFI_FINRURAL] t=  72.7s | pag= 61 | files= 162 | data=  2 | cola= 176 | prio=50 | https://www.asfi.gob.bo/pb/fuentes-financiamiento
[ASFI_FINRURAL] t=  73.1s | pag= 62 | files= 165 | data=  2 | cola= 175 | prio=50 | https://www.asfi.gob.bo/la/balance-general
[ASFI_FINRURAL] t=  73.7s | pag= 63 | files= 171 | data=  2 | cola= 174 | prio=50 | https://www.asfi.gob.bo/auditorias
[ASFI_FINRURAL] t=  74.4s | pag= 64 | files= 213 | data=  2 | cola= 177 | prio=40 | https://www.asfi.gob.bo/auditorias?page=1
[ASFI_FINRURAL] t=  75.3s | pag= 65 | files= 286 | data=  2 | cola= 177 | prio=40 | https://www.asfi.gob.bo/auditorias?page=2
[ASFI_FINRURAL] t=  76.2s | pag= 66 | files= 345 | data=  2 | cola= 176 | prio=40 | https://www.asfi.gob.bo/auditorias?page=3
[ASFI_FINRURAL] t=  77.0s | pag= 67 | files= 401 | data=  2 | cola= 175 | prio=40 | https://www.asfi.gob.bo/auditorias?page=4
[ASFI_FINRURAL] t=  77.7s | pag= 68 | files= 403 | data=  2 | cola= 174 | prio=40 | https://www.asfi.gob.bo/auditorias?page=0
[ASFI_FINRURAL] t=  78.2s | pag= 69 | files= 403 | data=  2 | cola= 173 | prio=50 | https://www.asfi.gob.bo/pb/gestion-denuncias-actoshechos-corrupcion
[ASFI_FINRURAL] t=  78.5s | pag= 70 | files= 404 | data=  2 | cola= 172 | prio=50 | https://www.asfi.gob.bo/form/solicitud-de-informacion
[ASFI_FINRURAL] t=  79.6s | pag= 71 | files= 404 | data=  2 | cola= 171 | prio=50 | https://www.asfi.gob.bo/rendicion
[ASFI_FINRURAL] t=  80.5s | pag= 72 | files= 414 | data=  2 | cola= 172 | prio=40 | https://www.asfi.gob.bo/rendicion?page=1
[ASFI_FINRURAL] t=  81.0s | pag= 73 | files= 431 | data=  2 | cola= 172 | prio=40 | https://www.asfi.gob.bo/rendicion?page=2
[ASFI_FINRURAL] t=  81.6s | pag= 74 | files= 441 | data=  2 | cola= 171 | prio=40 | https://www.asfi.gob.bo/rendicion?page=0
[ASFI_FINRURAL] t=  82.4s | pag= 75 | files= 441 | data=  2 | cola= 170 | prio=50 | https://www.asfi.gob.bo/la/programa-tranca-cero
[ASFI_FINRURAL] t=  83.2s | pag= 76 | files= 443 | data=  2 | cola= 169 | prio=50 | https://www.asfi.gob.bo/p-gina-de-notas-de-prensa
[ASFI_FINRURAL] t=  83.8s | pag= 77 | files= 443 | data=  2 | cola= 176 | prio=40 | https://www.asfi.gob.bo/p-gina-de-notas-de-prensa?page=1
[ASFI_FINRURAL] t=  84.3s | pag= 78 | files= 443 | data=  2 | cola= 185 | prio=40 | https://www.asfi.gob.bo/p-gina-de-notas-de-prensa?page=2
[ASFI_FINRURAL] t=  84.8s | pag= 79 | files= 443 | data=  2 | cola= 192 | prio=40 | https://www.asfi.gob.bo/p-gina-de-notas-de-prensa?page=0
[ASFI_FINRURAL] t=  85.6s | pag= 80 | files= 443 | data=  2 | cola= 191 | prio=50 | https://www.asfi.gob.bo/pagina-de-revistas
[ASFI_FINRURAL] t=  86.6s | pag= 81 | files= 445 | data=  2 | cola= 190 | prio=50 | https://www.asfi.gob.bo/pb/trabajos-investigacion
[ASFI_FINRURAL] t=  87.0s | pag= 82 | files= 445 | data=  2 | cola= 192 | prio= 2 | https://www.asfi.gob.bo/pb/publicaciones
[ASFI_FINRURAL] t=  87.9s | pag= 83 | files= 449 | data=  2 | cola= 191 | prio= 2 | https://www.asfi.gob.bo/pagina-de-otras-publicaciones
[ASFI_FINRURAL] t=  88.5s | pag= 84 | files= 451 | data=  2 | cola= 190 | prio=50 | https://www.asfi.gob.bo/pagina-lista-campanias
[ASFI_FINRURAL] t=  89.5s | pag= 85 | files= 451 | data=  2 | cola= 201 | prio=40 | https://www.asfi.gob.bo/pagina-lista-campanias?page=1
[ASFI_FINRURAL] t=  89.9s | pag= 86 | files= 451 | data=  2 | cola= 210 | prio=40 | https://www.asfi.gob.bo/pagina-lista-campanias?page=2
