================================================================================
CRAWLER V2
================================================================================
Fuente: Autoridad de Supervisión del Sistema Financiero
URL configurada: https://www.asfi.gob.bo/
Timeout HTTP: 15 s
Pausa HTTP:   aleatoria 0.30s - 0.90s
Verificación TLS: activa


Resolución de fuente:
  Original: https://www.asfi.gob.bo/
  Utilizada: https://www.asfi.gob.bo/
  Fallback: no
  Intentos: 1
    - usable         | HTTP=200 | https://www.asfi.gob.bo/

URL de trabajo: https://www.asfi.gob.bo/
Seeds: 4
Máx páginas: 5000
Máx archivos: 100000
Máx profundidad: 12
Sitemaps: activo
Máx URLs sitemap: 10000

[ASFI] t=  54.9s | pag= 37 | files=  66 | data=  2 | cola= 194 | prio=10 | https://www.asfi.gob.bo/node/986
[ASFI] t=  55.7s | pag= 38 | files=  68 | data=  2 | cola= 193 | prio=10 | https://www.asfi.gob.bo/node/989
[ASFI] t=  56.6s | pag= 39 | files=  70 | data=  2 | cola= 192 | prio=10 | https://www.asfi.gob.bo/node/992
[ASFI] t=  57.5s | pag= 40 | files=  72 | data=  2 | cola= 191 | prio=10 | https://www.asfi.gob.bo/la/boletin-trimestral-actualizacion-y-emision-normativa-2026
[ASFI] t=  58.5s | pag= 41 | files=  74 | data=  2 | cola= 190 | prio=10 | https://www.asfi.gob.bo/pb/puntos-atencion-financiera-eif
[ASFI] t=  59.2s | pag= 42 | files=  74 | data=  2 | cola= 189 | prio=10 | https://www.asfi.gob.bo/pb/puntos-atencion-financiera-mv
[ASFI] t=  60.1s | pag= 43 | files=  74 | data=  2 | cola= 188 | prio=10 | https://www.asfi.gob.bo/pb/puntos-atencion-financiera-esfc
[ASFI] t=  60.7s | pag= 44 | files=  74 | data=  2 | cola= 187 | prio=10 | https://www.asfi.gob.bo/pagina-lista-boletines?page=1
[ASFI] t=  61.4s | pag= 45 | files=  83 | data=  2 | cola= 187 | prio=10 | https://www.asfi.gob.bo/pagina-lista-boletines?page=2
[ASFI] t=  62.2s | pag= 46 | files=  91 | data=  2 | cola= 186 | prio=10 | https://www.asfi.gob.bo/pagina-lista-boletines?page=0
[ASFI] t=  63.3s | pag= 47 | files=  91 | data=  2 | cola= 185 | prio=50 | https://www.asfi.gob.bo/pagina-memoria-institucional
[ASFI] t=  64.1s | pag= 48 | files= 101 | data=  2 | cola= 187 | prio=40 | https://www.asfi.gob.bo/pagina-memoria-institucional?page=1
[ASFI] t=  64.8s | pag= 49 | files= 111 | data=  2 | cola= 187 | prio=40 | https://www.asfi.gob.bo/pagina-memoria-institucional?page=2
[ASFI] t=  65.9s | pag= 50 | files= 121 | data=  2 | cola= 186 | prio=40 | https://www.asfi.gob.bo/pagina-memoria-institucional?page=3
[ASFI] t=  66.8s | pag= 51 | files= 127 | data=  2 | cola= 185 | prio=40 | https://www.asfi.gob.bo/pagina-memoria-institucional?page=0
[ASFI] t=  67.6s | pag= 52 | files= 127 | data=  2 | cola= 184 | prio=50 | https://www.asfi.gob.bo/pb/objetivos-institucionales
[ASFI] t=  68.3s | pag= 53 | files= 127 | data=  2 | cola= 183 | prio=50 | https://www.asfi.gob.bo/pb/informacion-mae
[ASFI] t=  69.2s | pag= 54 | files= 127 | data=  2 | cola= 182 | prio=50 | https://www.asfi.gob.bo/la/politica-calidad
[ASFI] t=  70.0s | pag= 55 | files= 127 | data=  2 | cola= 181 | prio=50 | https://www.asfi.gob.bo/pb/plan-estrategico-institucional-pei
[ASFI] t=  70.5s | pag= 56 | files= 128 | data=  2 | cola= 180 | prio=50 | https://www.asfi.gob.bo/pagina-poa
[ASFI] t=  71.3s | pag= 57 | files= 131 | data=  2 | cola= 181 | prio=50 | https://www.asfi.gob.bo/la/seguimiento-y-evaluacion-al-poa
[ASFI] t=  71.7s | pag= 58 | files= 157 | data=  2 | cola= 180 | prio=50 | https://www.asfi.gob.bo/la/mapa-procesos
[ASFI] t=  72.1s | pag= 59 | files= 158 | data=  2 | cola= 179 | prio=50 | https://www.asfi.gob.bo/pb/plan-implementacion-software-libre-y-estandares-abiertos-pislea
[ASFI] t=  72.6s | pag= 60 | files= 159 | data=  2 | cola= 178 | prio=50 | https://www.asfi.gob.bo/presupuesto-institucional
[ASFI] t=  73.1s | pag= 61 | files= 161 | data=  2 | cola= 177 | prio=50 | https://www.asfi.gob.bo/pb/ejecucion-presupuestaria
[ASFI] t=  73.6s | pag= 62 | files= 162 | data=  2 | cola= 176 | prio=50 | https://www.asfi.gob.bo/pb/fuentes-financiamiento
[ASFI] t=  74.4s | pag= 63 | files= 165 | data=  2 | cola= 175 | prio=50 | https://www.asfi.gob.bo/la/balance-general
[ASFI] t=  75.1s | pag= 64 | files= 171 | data=  2 | cola= 174 | prio=50 | https://www.asfi.gob.bo/auditorias
[ASFI] t=  75.6s | pag= 65 | files= 213 | data=  2 | cola= 177 | prio=40 | https://www.asfi.gob.bo/auditorias?page=1
[ASFI] t=  76.3s | pag= 66 | files= 286 | data=  2 | cola= 177 | prio=40 | https://www.asfi.gob.bo/auditorias?page=2
[ASFI] t=  77.2s | pag= 67 | files= 345 | data=  2 | cola= 176 | prio=40 | https://www.asfi.gob.bo/auditorias?page=3
[ASFI] t=  77.8s | pag= 68 | files= 401 | data=  2 | cola= 175 | prio=40 | https://www.asfi.gob.bo/auditorias?page=4
[ASFI] t=  78.4s | pag= 69 | files= 403 | data=  2 | cola= 174 | prio=40 | https://www.asfi.gob.bo/auditorias?page=0
[ASFI] t=  79.4s | pag= 70 | files= 403 | data=  2 | cola= 173 | prio=50 | https://www.asfi.gob.bo/pb/gestion-denuncias-actoshechos-corrupcion
[ASFI] t=  80.3s | pag= 71 | files= 404 | data=  2 | cola= 172 | prio=50 | https://www.asfi.gob.bo/form/solicitud-de-informacion
[ASFI] t=  81.1s | pag= 72 | files= 404 | data=  2 | cola= 171 | prio=50 | https://www.asfi.gob.bo/rendicion
[ASFI] t=  81.8s | pag= 73 | files= 414 | data=  2 | cola= 172 | prio=40 | https://www.asfi.gob.bo/rendicion?page=1
[ASFI] t=  82.7s | pag= 74 | files= 431 | data=  2 | cola= 172 | prio=40 | https://www.asfi.gob.bo/rendicion?page=2
[ASFI] t=  83.7s | pag= 75 | files= 441 | data=  2 | cola= 171 | prio=40 | https://www.asfi.gob.bo/rendicion?page=0
[ASFI] t=  84.5s | pag= 76 | files= 441 | data=  2 | cola= 170 | prio=50 | https://www.asfi.gob.bo/la/programa-tranca-cero
[ASFI] t=  84.8s | pag= 77 | files= 443 | data=  2 | cola= 169 | prio=50 | https://www.asfi.gob.bo/p-gina-de-notas-de-prensa
[ASFI] t=  85.3s | pag= 78 | files= 443 | data=  2 | cola= 176 | prio=40 | https://www.asfi.gob.bo/p-gina-de-notas-de-prensa?page=1
[ASFI] t=  86.2s | pag= 79 | files= 443 | data=  2 | cola= 185 | prio=40 | https://www.asfi.gob.bo/p-gina-de-notas-de-prensa?page=2
[ASFI] t=  87.3s | pag= 80 | files= 443 | data=  2 | cola= 192 | prio=40 | https://www.asfi.gob.bo/p-gina-de-notas-de-prensa?page=0
[ASFI] t=  88.4s | pag= 81 | files= 443 | data=  2 | cola= 191 | prio=50 | https://www.asfi.gob.bo/pagina-de-revistas
[ASFI] t=  89.2s | pag= 82 | files= 445 | data=  2 | cola= 190 | prio=50 | https://www.asfi.gob.bo/pb/trabajos-investigacion
[ASFI] t=  89.7s | pag= 83 | files= 445 | data=  2 | cola= 192 | prio= 2 | https://www.asfi.gob.bo/pb/publicaciones
[ASFI] t=  90.9s | pag= 84 | files= 449 | data=  2 | cola= 191 | prio= 2 | https://www.asfi.gob.bo/pagina-de-otras-publicaciones
[ASFI] t=  92.0s | pag= 85 | files= 451 | data=  2 | cola= 190 | prio=50 | https://www.asfi.gob.bo/pagina-lista-campanias
[ASFI] t=  92.5s | pag= 86 | files= 451 | data=  2 | cola= 201 | prio=40 | https://www.asfi.gob.bo/pagina-lista-campanias?page=1
[ASFI] t=  93.6s | pag= 87 | files= 451 | data=  2 | cola= 210 | prio=40 | https://www.asfi.gob.bo/pagina-lista-campanias?page=2
[ASFI] t=  94.4s | pag= 88 | files= 451 | data=  2 | cola= 219 | prio=40 | https://www.asfi.gob.bo/pagina-lista-campanias?page=4
[ASFI] t=  95.1s | pag= 89 | files= 451 | data=  2 | cola= 220 | prio=40 | https://www.asfi.gob.bo/pagina-lista-campanias?page=0
[ASFI] t=  95.9s | pag= 90 | files= 451 | data=  2 | cola= 219 | prio=40 | https://www.asfi.gob.bo/pagina-lista-campanias?page=3
[ASFI] t=  96.6s | pag= 91 | files= 451 | data=  2 | cola= 227 | prio=50 | https://www.asfi.gob.bo/pagina-de-comunicados
[ASFI] t=  97.2s | pag= 92 | files= 461 | data=  2 | cola= 227 | prio=40 | https://www.asfi.gob.bo/pagina-de-comunicados?page=1
[ASFI] t=  97.9s | pag= 93 | files= 469 | data=  2 | cola= 227 | prio=40 | https://www.asfi.gob.bo/pagina-de-comunicados?page=0
[ASFI] t=  98.7s | pag= 94 | files= 469 | data=  2 | cola= 226 | prio=50 | https://www.asfi.gob.bo/pb/organigrama-institucional
[ASFI] t=  99.1s | pag= 95 | files= 470 | data=  2 | cola= 225 | prio=50 | https://www.asfi.gob.bo/la/nomina-servidores
[ASFI] t=  99.7s | pag= 96 | files= 471 | data=  2 | cola= 224 | prio=50 | https://www.asfi.gob.bo/escala-salarial
[ASFI] t= 100.2s | pag= 97 | files= 474 | data=  2 | cola= 223 | prio=50 | https://www.asfi.gob.bo/manual-de-organizaci-n-funcional
[ASFI] t= 100.8s | pag= 98 | files= 475 | data=  2 | cola= 222 | prio=50 | https://www.asfi.gob.bo/manual-de-procedimiento
[ASFI] t= 101.4s | pag= 99 | files= 476 | data=  2 | cola= 221 | prio=50 | https://www.asfi.gob.bo/poais
[ASFI] t= 102.5s | pag=100 | files= 477 | data=  2 | cola= 221 | prio=50 | https://www.asfi.gob.bo/la/manual-puestos
[ASFI] t= 102.9s | pag=101 | files= 500 | data=  2 | cola= 220 | prio=50 | https://www.asfi.gob.bo/oportunidad-de-empleo
[ASFI] t= 103.8s | pag=102 | files= 500 | data=  2 | cola= 219 | prio=50 | https://www.asfi.gob.bo/pb/terminos-referencia-consultores-linea
[ASFI] t= 104.4s | pag=103 | files= 500 | data=  2 | cola= 218 | prio=50 | https://www.asfi.gob.bo/convocatorias
[ASFI] t= 105.0s | pag=104 | files= 510 | data=  2 | cola= 220 | prio=40 | https://www.asfi.gob.bo/convocatorias?page=1
[ASFI] t= 105.4s | pag=105 | files= 520 | data=  2 | cola= 220 | prio=40 | https://www.asfi.gob.bo/convocatorias?page=2
[ASFI] t= 105.8s | pag=106 | files= 530 | data=  2 | cola= 220 | prio=40 | https://www.asfi.gob.bo/convocatorias?page=10
[ASFI] t= 107.7s | pag=107 | files= 531 | data=  2 | cola= 221 | prio=40 | https://www.asfi.gob.bo/convocatorias?page=0
