================================================================================
CRAWLER V2
================================================================================
Fuente: Asociación de Instituciones Financieras de Microfinanzas de Bolivia
URL configurada: https://asofinbolivia.com/
Timeout HTTP: 15 s
Pausa HTTP:   aleatoria 0.30s - 0.90s
Verificación TLS: activa


Resolución de fuente:
  Original: https://asofinbolivia.com/
  Utilizada: https://asofinbolivia.com/
  Fallback: no
  Intentos: 1
    - usable         | HTTP=200 | https://asofinbolivia.com/

URL de trabajo: https://asofinbolivia.com/
Seeds: 12
Máx páginas: 350
Máx archivos: 1000
Máx profundidad: 4
Sitemaps: inactivo

[ASOFIN] t=  52.2s | pag= 30 | files=   0 | data=  2 | req=  30 | rej=   0 | cola= 196 | prio= 1 | https://asofinbolivia.com/index.php/category/boletin_financiero/page/20/
[ASOFIN] t=  54.2s | pag= 31 | files=   0 | data=  2 | req=  31 | rej=   0 | cola= 200 | prio= 2 | https://asofinbolivia.com/index.php/2026/08/13/no-251/
[ASOFIN] ARCHIVO UTIL=1 | score=140 | pdf | https://asofinbolivia.com/wp-content/uploads/2026/08/Bol_FIN-062026v1_compressed.pdf
[ASOFIN] t=  55.8s | pag= 32 | files=   1 | data=  2 | req=  32 | rej=   0 | cola= 199 | prio= 2 | https://asofinbolivia.com/index.php/2026/08/13/no-250/
[ASOFIN] ARCHIVO UTIL=2 | score=140 | pdf | https://asofinbolivia.com/wp-content/uploads/2026/08/Bol_FIN-052026v1_compressed.pdf
[ASOFIN] t=  57.6s | pag= 33 | files=   2 | data=  2 | req=  33 | rej=   0 | cola= 198 | prio= 2 | https://asofinbolivia.com/index.php/2026/06/08/no-249/
[ASOFIN] ARCHIVO UTIL=3 | score=140 | pdf | https://asofinbolivia.com/wp-content/uploads/2026/06/Bol_Fin-042026v1_compressed.pdf
[ASOFIN] t=  59.1s | pag= 34 | files=   3 | data=  2 | req=  34 | rej=   0 | cola= 197 | prio= 2 | https://asofinbolivia.com/index.php/2026/05/13/no-248/
[ASOFIN] ARCHIVO UTIL=4 | score=140 | pdf | https://asofinbolivia.com/wp-content/uploads/2026/05/Bol_Fin-032026v1_compressed.pdf
[ASOFIN] t=  60.7s | pag= 35 | files=   4 | data=  2 | req=  35 | rej=   0 | cola= 196 | prio= 2 | https://asofinbolivia.com/index.php/2026/03/31/no-247/
[ASOFIN] ARCHIVO UTIL=5 | score=140 | pdf | https://asofinbolivia.com/wp-content/uploads/2026/03/Bol_Fin-022026v1.pdf
[ASOFIN] t=  62.6s | pag= 36 | files=   5 | data=  2 | req=  36 | rej=   0 | cola= 195 | prio= 2 | https://asofinbolivia.com/index.php/2026/03/11/no-246/
[ASOFIN] ARCHIVO UTIL=6 | score=140 | pdf | https://asofinbolivia.com/wp-content/uploads/2026/04/Boletin-Financiero-0126_compressed-1.pdf
[ASOFIN] t=  64.2s | pag= 37 | files=   6 | data=  2 | req=  37 | rej=   0 | cola= 194 | prio= 2 | https://asofinbolivia.com/index.php/2026/02/11/no-245/
[ASOFIN] ARCHIVO UTIL=7 | score=140 | pdf | https://asofinbolivia.com/wp-content/uploads/2026/02/Boletin-Financiero-202512_compressed.pdf
