================================================================================
CRAWLER V2
================================================================================
Fuente: Autoridad de Supervisión del Sistema Financiero - Mercado de Valores
URL configurada: https://www.asfi.gob.bo/
Timeout HTTP: 15 s
Pausa HTTP:   aleatoria 0.30s - 0.90s
Verificación TLS: activa


Resolución de fuente:
  Original: https://www.asfi.gob.bo/
  Utilizada: https://www.asfi.gob.bo/
  Fallback: no
  Intentos: 1
    - usable         | HTTP=200 | https://www.asfi.gob.bo/

URL de trabajo: https://www.asfi.gob.bo/
Seeds: 2
Máx páginas: 5000
Máx archivos: 100000
Máx profundidad: 12
Sitemaps: activo
Máx URLs sitemap: 10000

[ASFI_VALORES] t=  54.5s | pag= 34 | files=  60 | data=  2 | cola= 196 | prio=10 | https://www.asfi.gob.bo/node/977
[ASFI_VALORES] t=  55.4s | pag= 35 | files=  62 | data=  2 | cola= 195 | prio=10 | https://www.asfi.gob.bo/node/980
[ASFI_VALORES] t=  56.1s | pag= 36 | files=  64 | data=  2 | cola= 194 | prio=10 | https://www.asfi.gob.bo/node/983
[ASFI_VALORES] t=  56.5s | pag= 37 | files=  66 | data=  2 | cola= 193 | prio=10 | https://www.asfi.gob.bo/node/986
[ASFI_VALORES] t=  57.3s | pag= 38 | files=  68 | data=  2 | cola= 192 | prio=10 | https://www.asfi.gob.bo/node/989
[ASFI_VALORES] t=  58.1s | pag= 39 | files=  70 | data=  2 | cola= 191 | prio=10 | https://www.asfi.gob.bo/node/992
[ASFI_VALORES] t=  58.6s | pag= 40 | files=  72 | data=  2 | cola= 190 | prio=10 | https://www.asfi.gob.bo/la/boletin-trimestral-actualizacion-y-emision-normativa-2026
[ASFI_VALORES] t=  59.3s | pag= 41 | files=  74 | data=  2 | cola= 189 | prio=10 | https://www.asfi.gob.bo/pb/puntos-atencion-financiera-eif
[ASFI_VALORES] t=  60.2s | pag= 42 | files=  74 | data=  2 | cola= 188 | prio=10 | https://www.asfi.gob.bo/pb/puntos-atencion-financiera-mv
[ASFI_VALORES] t=  61.1s | pag= 43 | files=  74 | data=  2 | cola= 187 | prio=10 | https://www.asfi.gob.bo/pb/puntos-atencion-financiera-esfc
[ASFI_VALORES] t=  61.8s | pag= 44 | files=  74 | data=  2 | cola= 186 | prio=10 | https://www.asfi.gob.bo/pagina-lista-boletines?page=1
[ASFI_VALORES] t=  62.3s | pag= 45 | files=  83 | data=  2 | cola= 186 | prio=10 | https://www.asfi.gob.bo/pagina-lista-boletines?page=2
[ASFI_VALORES] t=  62.9s | pag= 46 | files=  91 | data=  2 | cola= 185 | prio=10 | https://www.asfi.gob.bo/pagina-lista-boletines?page=0
[ASFI_VALORES] t=  63.4s | pag= 47 | files=  91 | data=  2 | cola= 184 | prio=50 | https://www.asfi.gob.bo/pagina-memoria-institucional
[ASFI_VALORES] t=  64.0s | pag= 48 | files= 101 | data=  2 | cola= 186 | prio=40 | https://www.asfi.gob.bo/pagina-memoria-institucional?page=1
[ASFI_VALORES] t=  64.9s | pag= 49 | files= 111 | data=  2 | cola= 186 | prio=40 | https://www.asfi.gob.bo/pagina-memoria-institucional?page=2
[ASFI_VALORES] t=  65.3s | pag= 50 | files= 121 | data=  2 | cola= 185 | prio=40 | https://www.asfi.gob.bo/pagina-memoria-institucional?page=3
[ASFI_VALORES] t=  66.1s | pag= 51 | files= 127 | data=  2 | cola= 184 | prio=40 | https://www.asfi.gob.bo/pagina-memoria-institucional?page=0
[ASFI_VALORES] t=  67.0s | pag= 52 | files= 127 | data=  2 | cola= 183 | prio=50 | https://www.asfi.gob.bo/pb/objetivos-institucionales
[ASFI_VALORES] t=  67.5s | pag= 53 | files= 127 | data=  2 | cola= 182 | prio=50 | https://www.asfi.gob.bo/pb/informacion-mae
[ASFI_VALORES] t=  67.9s | pag= 54 | files= 127 | data=  2 | cola= 181 | prio=50 | https://www.asfi.gob.bo/la/politica-calidad
[ASFI_VALORES] t=  68.3s | pag= 55 | files= 127 | data=  2 | cola= 180 | prio=50 | https://www.asfi.gob.bo/pb/plan-estrategico-institucional-pei
[ASFI_VALORES] t=  69.2s | pag= 56 | files= 128 | data=  2 | cola= 179 | prio=50 | https://www.asfi.gob.bo/pagina-poa
[ASFI_VALORES] t=  69.7s | pag= 57 | files= 131 | data=  2 | cola= 180 | prio=50 | https://www.asfi.gob.bo/la/seguimiento-y-evaluacion-al-poa
[ASFI_VALORES] t=  70.2s | pag= 58 | files= 157 | data=  2 | cola= 179 | prio=50 | https://www.asfi.gob.bo/la/mapa-procesos
[ASFI_VALORES] t=  70.6s | pag= 59 | files= 158 | data=  2 | cola= 178 | prio=50 | https://www.asfi.gob.bo/pb/plan-implementacion-software-libre-y-estandares-abiertos-pislea
[ASFI_VALORES] t=  71.5s | pag= 60 | files= 159 | data=  2 | cola= 177 | prio=50 | https://www.asfi.gob.bo/presupuesto-institucional
[ASFI_VALORES] t=  72.2s | pag= 61 | files= 161 | data=  2 | cola= 176 | prio=50 | https://www.asfi.gob.bo/pb/ejecucion-presupuestaria
[ASFI_VALORES] t=  72.9s | pag= 62 | files= 162 | data=  2 | cola= 175 | prio=50 | https://www.asfi.gob.bo/pb/fuentes-financiamiento
