================================================================================
CRAWLER V2
================================================================================
Fuente: Banco Central de Bolivia
URL configurada: https://www.bcb.gob.bo/
Timeout HTTP: 15 s
Pausa HTTP:   aleatoria 0.30s - 0.90s
Verificación TLS: activa


Resolución de fuente:
  Original: https://www.bcb.gob.bo/
  Utilizada: https://www.bcb.gob.bo/
  Fallback: no
  Intentos: 1
    - usable         | HTTP=200 | https://www.bcb.gob.bo/

URL de trabajo: https://www.bcb.gob.bo/
Seeds: 1
Máx páginas: 5000
Máx archivos: 100000
Máx profundidad: 12
Sitemaps: activo
Máx URLs sitemap: 10000

[BCB] t= 301.4s | pag= 33 | files= 685 | data=  4 | cola= 202 | prio= 2 | https://www.bcb.gob.bo/?page=4&q=pub_memorias-institucionales
[BCB] t= 403.7s | pag= 34 | files= 725 | data=  4 | cola= 201 | prio= 2 | https://www.bcb.gob.bo/?page=1&q=moneda-mercado-semanal
[BCB] t= 405.6s | pag= 35 | files= 735 | data=  4 | cola= 200 | prio= 2 | https://www.bcb.gob.bo/?page=2&q=moneda-mercado-semanal
[BCB] t= 407.1s | pag= 36 | files= 745 | data=  4 | cola= 199 | prio= 2 | https://www.bcb.gob.bo/?page=3&q=moneda-mercado-semanal
[BCB] t= 408.7s | pag= 37 | files= 755 | data=  4 | cola= 198 | prio= 2 | https://www.bcb.gob.bo/?page=4&q=moneda-mercado-semanal
[BCB] t= 410.3s | pag= 38 | files= 765 | data=  4 | cola= 197 | prio= 2 | https://www.bcb.gob.bo/?page=5&q=moneda-mercado-semanal
[BCB] t= 411.7s | pag= 39 | files= 775 | data=  4 | cola= 197 | prio= 2 | https://www.bcb.gob.bo/?page=6&q=moneda-mercado-semanal
[BCB] t= 413.1s | pag= 40 | files= 785 | data=  4 | cola= 197 | prio= 2 | https://www.bcb.gob.bo/?page=7&q=moneda-mercado-semanal
[BCB] t= 414.3s | pag= 41 | files= 795 | data=  4 | cola= 197 | prio= 2 | https://www.bcb.gob.bo/?page=8&q=moneda-mercado-semanal
[BCB] t= 415.6s | pag= 42 | files= 805 | data=  4 | cola= 197 | prio= 2 | https://www.bcb.gob.bo/?page=110&q=moneda-mercado-semanal
[BCB] t= 417.0s | pag= 43 | files= 815 | data=  4 | cola= 204 | prio= 2 | https://www.bcb.gob.bo/?page=1&q=informe-vigilancia-sistema-pagos
[BCB] t= 418.2s | pag= 44 | files= 820 | data=  4 | cola= 203 | prio= 2 | https://www.bcb.gob.bo/?page=1&q=informe-de-estabilidad-financiera
[BCB] t= 419.5s | pag= 45 | files= 830 | data=  4 | cola= 202 | prio= 2 | https://www.bcb.gob.bo/?page=2&q=informe-de-estabilidad-financiera
[BCB] t= 421.2s | pag= 46 | files= 840 | data=  4 | cola= 201 | prio= 2 | https://www.bcb.gob.bo/?page=3&q=informe-de-estabilidad-financiera
[BCB] t= 422.8s | pag= 47 | files= 849 | data=  4 | cola= 200 | prio= 2 | https://www.bcb.gob.bo/?page=1&q=boletines-mensuales
[BCB] t= 424.4s | pag= 48 | files= 861 | data=  4 | cola= 199 | prio= 2 | https://www.bcb.gob.bo/?page=2&q=boletines-mensuales
[BCB] t= 425.8s | pag= 49 | files= 873 | data=  4 | cola= 198 | prio= 2 | https://www.bcb.gob.bo/?page=3&q=boletines-mensuales
[BCB] t= 427.6s | pag= 50 | files= 885 | data=  4 | cola= 197 | prio= 2 | https://www.bcb.gob.bo/?page=4&q=boletines-mensuales
[BCB] t= 428.7s | pag= 51 | files= 897 | data=  4 | cola= 196 | prio= 2 | https://www.bcb.gob.bo/?page=5&q=boletines-mensuales
[BCB] t= 429.9s | pag= 52 | files= 909 | data=  4 | cola= 196 | prio= 2 | https://www.bcb.gob.bo/?page=6&q=boletines-mensuales
[BCB] t= 431.0s | pag= 53 | files= 921 | data=  4 | cola= 196 | prio= 2 | https://www.bcb.gob.bo/?page=7&q=boletines-mensuales
[BCB] t= 432.8s | pag= 54 | files= 933 | data=  4 | cola= 196 | prio= 2 | https://www.bcb.gob.bo/?page=8&q=boletines-mensuales
[BCB] t= 434.0s | pag= 55 | files= 945 | data=  4 | cola= 196 | prio= 2 | https://www.bcb.gob.bo/?page=19&q=boletines-mensuales
[BCB] t= 435.5s | pag= 56 | files= 946 | data=  4 | cola= 201 | prio= 2 | https://www.bcb.gob.bo/?page=1&q=reporte-estadistico
[BCB] t= 436.7s | pag= 57 | files= 976 | data=  4 | cola= 200 | prio= 2 | https://www.bcb.gob.bo/?page=2&q=reporte-estadistico
[BCB] t= 438.4s | pag= 58 | files=1006 | data=  4 | cola= 199 | prio= 2 | https://www.bcb.gob.bo/?page=3&q=reporte-estadistico
[BCB] t= 440.1s | pag= 59 | files=1036 | data=  4 | cola= 198 | prio= 2 | https://www.bcb.gob.bo/?page=4&q=reporte-estadistico
[BCB] t= 441.6s | pag= 60 | files=1066 | data=  4 | cola= 197 | prio= 2 | https://www.bcb.gob.bo/?page=5&q=reporte-estadistico
[BCB] t= 442.9s | pag= 61 | files=1096 | data=  4 | cola= 197 | prio= 2 | https://www.bcb.gob.bo/?page=6&q=reporte-estadistico
[BCB] t= 444.7s | pag= 62 | files=1126 | data=  4 | cola= 197 | prio= 2 | https://www.bcb.gob.bo/?page=7&q=reporte-estadistico
